Partner,Value
Afghanistan,2291.47943582268
Albania,178448.65786718845
Algeria,227825.3455744108
American Samoa,1232.22976975956
Andorra,2480.40195344017
Angola,37528.84576610542
Anguila,610.92412171355
Antarctica,185.35401130747002
Antigua and Barbuda,126.06269473083
Argentina,282072.395540123
Armenia,23306.70807745752
Aruba,620.39596307017
Australia,1597308.3492253795
Austria,36234742.67204769
Azerbaijan,75639.12143097585
BLM,3.16211987775
"Bahamas, The",539.3537798833299
Bahrain,59124.99289238167
Bangladesh,1518153.671001269
Barbados,4151.26296579144
Belarus,806702.4396716978
Belgium,9208356.952666547
Belize,1558.20121867134
Benin,15662.22052716296
Bermuda,134.24440647157002
Bhutan,299.43543065706
Bolivia,54335.45790514963
Bonaire,52.19232766716
Bosnia and Herzegovina,867834.7383792254
Botswana,3596.5774281197696
Brazil,967359.1884390169
British Indian Ocean Ter.,11.03261460224
British Virgin Islands,247.96922887188
Brunei,1316.74185208384
Bulgaria,4322209.294414455
Bunkers,24854.32953847734
Burkina Faso,6705.86706131332
Burundi,374.48123180503995
Cambodia,290666.2059701806
Cameroon,76204.82898606254
Canada,1677178.1393283526
Cape Verde,53.261858867469996
Cayman Islands,1460.32073366951
Central African Republic,1113.84591371486
Chad,4.180886316900001
Chile,256011.75414517638
China,36883499.40874272
Christmas Island,806.8382994266
Cocos (Keeling) Islands,248.42188448112
Colombia,582869.1818016595
Comoros,249.28299732426
"Congo, Dem. Rep.",15695.07271548816
"Congo, Rep.",6601.00228624643
Cook Islands,1006.3287023627
Costa Rica,113937.4891551683
Cote d'Ivoire,135966.41165310086
Croatia,3054434.370253331
Cuba,94435.58843841136
Curaçao,2550.8442487942702
Cyprus,456890.4003295279
Czech Republic,86963776.8893466
Denmark,4906214.430408761
Djibouti,4683.22913022081
Dominica,600.50253935689
Dominican Republic,44387.14562048607
East Timor,0.16790708099999999
Ecuador,215857.67287295827
"Egypt, Arab Rep.",2107897.1285290336
El Salvador,5222.51433085338
Equatorial Guinea,674.17714102994
Eritrea,6646.42046173752
Estonia,721862.5185141661
Ethiopia(excludes Eritrea),26995.38725518269
Faeroe Islands,3003.73918383028
Falkland Island,69.80662094739
Fiji,135.01658792806
Finland,2316967.017790455
Fr. So. Ant. Tr,100.18197654944998
France,45756492.24793412
French Polynesia,886.65622119655
Gabon,14767.63297883396
"Gambia, The",114.07143508372
Georgia,77993.49834103332
Germany,165360354.06946847
Ghana,38324.89431031227
Gibraltar,6705.60262980965
Greece,2912729.0452166605
Greenland,3.6311720662399996
Grenada,357.78648261966003
Guam,19.504010052759998
Guatemala,35421.33344875746
Guinea,20910.498142457818
Guinea-Bissau,93.56740701624
Guyana,2973.6142378467503
Haiti,380.08765418288
Heard Island and McDonald Isla,216.91020289957999
Holy See,62.30136271478
Honduras,14704.868518490339
"Hong Kong, China",365064.4398870439
Hungary,48395915.641234115
Iceland,81658.0867255944
India,1985891.657464106
Indonesia,633306.4928827994
"Iran, Islamic Rep.",44162.40765701364
Iraq,19657.39927855741
Ireland,1968933.46169192
Israel,1743833.8639913076
Italy,34193739.08945102
Jamaica,130427.67934954849
Japan,4001389.2257609256
Jordan,208638.26331372545
Kazakhstan,337301.75441875437
Kenya,32479.57064063716
Kiribati,2.4346526745
"Korea, Dem. Rep.",1616.32169506922
"Korea, Rep.",25984238.020390294
Kuwait,587057.2778264114
Kyrgyz Republic,14497.13255073149
Lao PDR,4323.77085786966
Latvia,976029.139755541
Lebanon,134662.08592424757
Lesotho,11495.71704159455
Liberia,7725.1719141247195
Libya,11046.0302354909
Lithuania,1385632.0762733587
Luxembourg,1012538.8831682575
Macao,1805.9817222018398
"Macedonia, FYR",763166.4101627977
Madagascar,16423.03916005875
Malawi,9102.760161380931
Malaysia,2746380.970348957
Maldives,998.0238743206601
Mali,45725.42577421785
Malta,111905.59715871437
Marshall Islands,262.0031912987
Mauritania,188.15789079858
Mauritius,45139.91929135402
Mexico,2238342.5712895016
"Micronesia, Fed. Sts.",498.72059244297003
Moldova,314955.05902374303
Mongolia,8583.4177853418
Montenegro,136372.0994653474
Montserrat,2.9998265149999996
Morocco,1804949.3942985549
Mozambique,355230.1787599133
Myanmar,224318.87274625208
Namibia,9599.11851996709
Nauru,20.4790669793
Nepal,1260.02751789573
Netherlands,14831349.762199823
New Caledonia,9091.84274891813
New Zealand,232713.97115744208
Nicaragua,13465.73504735512
Niger,814.4858922012199
