Partner,Value
Afghanistan,2180.52603
Albania,324542.77301
Algeria,412518.01026
American Samoa,1544.74366
Andorra,948.5112300000001
Angola,834.4072299999999
Antarctica,0.69586
Antigua and Barbuda,782.3580800000001
Argentina,251775.41551000002
Armenia,80035.80541
Aruba,1496.89204
Australia,569950.21274
Austria,24710070.27233
Azerbaijan,94270.93835000001
BLM,331.30247
"Bahamas, The",5898.87173
Bahrain,24134.648269999998
Bangladesh,558658.97941
Barbados,906.81076
Belarus,451300.13682
Belgium,4445282.0449
Belize,516.8225199999999
Benin,3893.98038
Bermuda,1748.29188
Bhutan,1179.0967
Bolivia,9100.35672
Bonaire,3.10432
Bosnia and Herzegovina,6777770.158950001
Botswana,1300.73273
Bouvet Island,0.296
Brazil,1157906.78492
British Indian Ocean Ter.,3.91092
British Virgin Islands,992.32784
Brunei,310.82744
Bulgaria,2199553.01794
Bunkers,9258.42116
Burkina Faso,675.0284
Burundi,3290.3538500000004
Cambodia,169566.83526000002
Cameroon,16660.08037
Canada,1169502.9437199999
Cape Verde,460.21704
Central African Republic,1365.46259
Chad,0.84077
Chile,204475.32617000001
China,12437315.25873
Christmas Island,31.74518
Cocos (Keeling) Islands,40.37448
Colombia,172826.7335
Comoros,1216.8681499999998
"Congo, Dem. Rep.",10578.152380000001
"Congo, Rep.",1194.70112
Cook Islands,318.27115
Costa Rica,86556.65344
Cote d'Ivoire,45046.93349
Croatia,20884602.05928
Cuba,8089.76376
Curaçao,7344.31647
Cyprus,184284.68581999998
Czech Republic,7770976.420620001
Denmark,2333528.9955
Djibouti,1045.02449
Dominica,285.81484
Dominican Republic,40173.128169999996
East Timor,27.5087
Ecuador,107248.44145000001
"Egypt, Arab Rep.",804132.17297
El Salvador,4178.0208
Equatorial Guinea,2881.46597
Eritrea,296.45615
Estonia,456767.98019000003
Ethiopia(excludes Eritrea),27641.18303
Faeroe Islands,3482.37416
Falkland Island,46.58977
Fiji,305.08337
Finland,959553.68632
Fr. So. Ant. Tr,143.58778999999998
France,16279807.6589
French Polynesia,4874.31375
Gabon,5070.24827
"Gambia, The",768.35763
Georgia,131896.53963
Germany,58689725.63194001
Ghana,61860.12329
Gibraltar,1288.28193
Greece,2443634.97836
Greenland,95.26022999999999
Grenada,26.3064
Guam,25.70312
Guatemala,4927.2949499999995
Guinea,310.43435
Guinea-Bissau,2168.88859
Guyana,14376.01263
Haiti,3483.104
Heard Island and McDonald Isla,10.57235
Holy See,0.40375
Honduras,9056.754069999999
"Hong Kong, China",326636.09246
Hungary,8934040.11496
Iceland,42401.4533
India,2210074.49305
Indonesia,663513.50339
"Iran, Islamic Rep.",287952.85517999995
Iraq,80058.63497
Ireland,1109401.18531
Israel,757072.80819
Italy,40198362.91776
Jamaica,2444.97224
Japan,2076100.11828
Jordan,71752.47377
Kazakhstan,531843.53685
Kenya,26096.46676
Kiribati,457.6952
"Korea, Dem. Rep.",273.26145
"Korea, Rep.",2334346.79127
Kuwait,94214.53684
Kyrgyz Republic,63417.55009
Lao PDR,1930.1208499999998
Latvia,271856.78003
Lebanon,92686.12566
Lesotho,24.30245
Liberia,288.0101
Libya,74882.65279
Lithuania,733302.27694
Luxembourg,306090.23747
Macao,13830.15189
"Macedonia, FYR",1687789.97157
Madagascar,9761.028709999999
Malawi,81.63213
Malaysia,391140.81485
Maldives,12488.16137
Mali,1716.6914299999999
Malta,118676.98509
Marshall Islands,2.82416
Mauritania,6021.644910000001
Mauritius,18593.89267
Mexico,774922.09128
Moldova,131221.68701
Mongolia,77364.28266
Montenegro,599662.02882
Morocco,549636.90376
Mozambique,257990.04817000002
Myanmar,79373.06148
Namibia,12606.276420000002
Nauru,711.34121
Nepal,3076.59729
Netherlands,6123901.34009
New Caledonia,1540.16517
New Zealand,71154.56033000001
Nicaragua,958.8956900000001
Niger,657.3550299999999
Nigeria,53085.17517
Niue,444.41975
Northern Mariana Islands,54.30892
Norway,626451.4790599999
Occ.Pal.Terr,5978.383169999999
Oman,31582.00977
"Other Asia, nes",792362.26453
Pakistan,178310.53218
Panama,54250.07582
Papua New Guinea,2825.01105
Paraguay,11020.83644
Peru,67862.80133
Philippines,134697.86123
Pitcairn,113.34887
Poland,9601105.22355
Portugal,1544598.9060900002
Qatar,54451.928009999996
Romania,5554316.37599
Russian Federation,7567236.34251
Rwanda,6405.38602
Saint Helena,6.459169999999999
Saint Maarten (Dutch part),1436.80088
Saint Pierre and Miquelon,729.13871
Samoa,69.11605
San Marino,55097.798559999996
Sao Tome and Principe,147.8476
Saudi Arabia,1014291.05848
Senegal,16496.612540000002
"Serbia, FR(Serbia/Montenegro)",8965106.903329998
Seychelles,2479.49697
Sierra Leone,17211.76886
Singapore,664017.2108100001
Slovak Republic,5103730.91539
Solomon Islands,0.15843000000000002
Somalia,14498.79012
South Africa,554325.49982
South Sudan,1464.90192
Spain,6252863.93691
Special Categories,738781.5492400001
Sri Lanka,79927.43719
St. Kitts and Nevis,642.27251
St. Lucia,162.78581
St. Vincent and the Grenadines,25.81812
Sudan,51279.22568
Suriname,2233.76576
Swaziland,273.00606
Sweden,3048957.6512399996
Switzerland,29577399.76809
Syrian Arab Republic,9663.3654
Tajikistan,28720.713580000003
Tanzania,11260.91928
Thailand,555087.7276699999
Togo,796.89268
Tokelau,47.77183
Tonga,34.49416
Trinidad and Tobago,8074.25432
Tunisia,174158.44345999998
Turkey,6573963.7662
Turkmenistan,52605.02294
Turks and Caicos Isl.,540.64349
Tuvalu,387.45096
Uganda,14962.420470000001
Ukraine,1475890.80837
United Arab Emirates,422119.21929
United Kingdom,5824016.21943
United States,6842106.17929
