Partner,Value
Afghanistan,30941.553115200004
Albania,141621.6547369
Algeria,1386537.8996853002
American Samoa,281.0215686
Andorra,7771.8639903
Angola,413304.06674579997
Anguila,6856.4822217
Antarctica,0.4229068
Antigua and Barbuda,8849.7476968
Argentina,1066019.9020396
Armenia,72006.226302
Aruba,136403.0905516
Australia,10083586.109575802
Austria,15726828.862914402
Azerbaijan,104642.7898716
BLM,287.0479905
"Bahamas, The",350078.6543322
Bahrain,388559.5784244
Bangladesh,3234954.623984301
Barbados,37220.3446481
Belarus,473969.09566550003
Belgium,60563443.6402657
Belize,3392.4526229000003
Benin,75958.5018014
Bermuda,2910.656051
Bhutan,22460.157241200002
Bolivia,138753.92372609998
Bonaire,119.0482642
Bosnia and Herzegovina,325450.7825609001
Botswana,8203.334653
Brazil,6395940.3112078
British Indian Ocean Ter.,1.057267
British Virgin Islands,8532.7790502
Brunei,12600.4023793
Bulgaria,1946683.3483469998
Bunkers,1675450.4862665
Burkina Faso,109565.53075030001
Burundi,18815.9693456
Cambodia,417335.63727019995
Cameroon,36754.7242613
Canada,7649844.2771965
Cape Verde,3467.4128532
Cayman Islands,174448.73781989998
Central African Republic,875.5228026999999
Chad,6755.618949900001
Chile,2143126.2001145
China,80459706.4153121
Christmas Island,67.03072780000001
Cocos (Keeling) Islands,29.8149294
Colombia,817993.6277023
Comoros,1436.8258529999998
"Congo, Dem. Rep.",98347.61070019999
"Congo, Rep.",51414.2598498
Cook Islands,186.7133522
Costa Rica,246893.7299269
Cote d'Ivoire,111457.08714
Croatia,1057918.6993787999
Cuba,133527.6414917
Curaçao,1191.2227289
Cyprus,386887.5106639
Czech Republic,17899051.4737757
Denmark,93825091.1606611
Djibouti,12435.6801807
Dominica,333.67346519999995
Dominican Republic,384244.1317105
East Timor,1432.4910583
Ecuador,592032.9385617999
"Egypt, Arab Rep.",3164637.9103483
El Salvador,93971.0539537
Equatorial Guinea,4318.4070615
Eritrea,24109.2823078
Estonia,12370191.265366102
Ethiopia(excludes Eritrea),124320.1146421
Faeroe Islands,166515.1119786
Falkland Island,29.3920226
Fiji,1640.9841107
Finland,82860539.12068921
Fr. So. Ant. Tr,586.2545515
France,56090894.345308
French Polynesia,5372.0793537
Gabon,15492.344804400002
"Gambia, The",27504.4838249
Georgia,77310.64056769999
Germany,201923789.76323408
Ghana,389760.73946310004
Gibraltar,96945.3574781
Greece,2386442.8786003
Greenland,463960.68906340003
Grenada,835.4523834
Guam,586.783185
Guatemala,211633.2411167
Guinea,41717.852739400005
Guinea-Bissau,11750.9940715
Guyana,24123.661139
Haiti,7508.8159607
Heard Island and McDonald Isla,464.0344863
Holy See,107.3126005
Honduras,217061.46134809998
"Hong Kong, China",2826938.1609589
Hungary,11307599.868754102
Iceland,1780324.8176111006
India,9189722.0504132
Indonesia,2529512.2490403
"Iran, Islamic Rep.",348535.1502389
Iraq,396342.4379914999
Ireland,9707068.696554702
Israel,2171127.5994293997
Italy,41935735.69720711
Jamaica,12902.4635612
Japan,19768852.4804167
Jordan,254163.814999
Kazakhstan,536027.7082179
Kenya,274337.9495328
Kiribati,1455.3280255
"Korea, Dem. Rep.",366.55446889999996
"Korea, Rep.",12677354.394901302
Kuwait,511703.8007090999
Kyrgyz Republic,27328.237416
Lao PDR,154687.1488695
Latvia,6464460.0938506
Lebanon,278270.7713194
Lesotho,269.49735830000003
Liberia,49383.5671229
Libya,796203.3548323
Lithuania,10778986.033920301
Luxembourg,2237409.9936468
Macao,39421.363088699996
"Macedonia, FYR",202456.5864635
Madagascar,219280.8762345
Malawi,11972.491508
Malaysia,3288706.924077901
Maldives,16007.8681936
Mali,70978.03414450001
Malta,457351.8187731
Marshall Islands,3839.993744
Mauritania,18384.710136299997
Mauritius,80165.7901012
Mexico,4198315.1690443
"Micronesia, Fed. Sts.",3.171801
Moldova,88656.59565150001
Mongolia,190238.0689246
Montenegro,41660.6545947
Montserrat,13.1101108
Morocco,2340114.0730205
Mozambique,33010.6246342
Myanmar,440041.7148155999
Namibia,20993.305005399998
Nauru,52.863350000000004
Nepal,42683.6661439
Netherlands,104266868.9686203
New Caledonia,119276.2109652
New Zealand,955834.8128272998
Nicaragua,69179.9401576
Niger,46300.7880043
Nigeria,4611019.342494301
Niue,123.0658788
Northern Mariana Islands,242.53704979999998
Norway,131641411.9303261
Occ.Pal.Terr,50463.248183300006
Oman,669363.3500223999
"Other Asia, nes",5834616.3270212
Pakistan,2555540.7881332003
Palau,15.541824900000002
Panama,212024.9585402
Papua New Guinea,13926.532377399999
Paraguay,93859.40655849999
Peru,1281981.4885276
Philippines,944459.5714476
Pitcairn,2.5374408
Poland,51710223.032824114
Portugal,6124451.801966703
Qatar,2762976.5735331997
Romania,3515159.6652801996
Russian Federation,28408361.5769997
Rwanda,50426.8781985
Saint Helena,88.9161547
Saint Maarten (Dutch part),1745.7592703999999
Saint Pierre and Miquelon,12.687204000000001
Samoa,499.030024
San Marino,18890.2952157
Sao Tome and Principe,575.9990615999999
Saudi Arabia,4671261.5703407
Senegal,86716.5107065
"Serbia, FR(Serbia/Montenegro)",1717449.3605745002
Seychelles,5811.2680655
Sierra Leone,27011.903129599996
Singapore,4888711.577311301
Slovak Republic,6814357.1097122
Slovenia,2434215.6994487
Solomon Islands,1827.8031896
Somalia,2670.8678954
South Africa,4585167.0498103
South Georgia and the South Sa,146.5372062
South Sudan,477.9904107
Spain,23456452.9220304
Sri Lanka,525277.5230886
St. Kitts and Nevis,2247.4324619
St. Lucia,1019.7340215
St. Vincent and the Grenadines,825.1968935
Sudan,132399.1146959
Suriname,8888.0207622
Swaziland,1763.6270826999998
Switzerland,11983253.0058862
Syrian Arab Republic,82337.9451527
Tajikistan,6293.2760908
Tanzania,176452.2587849
Thailand,4554961.8831606
Togo,28826.5962084
Tokelau,202.5723572
Tonga,196.4402086
Trinidad and Tobago,136913.2218791
Tunisia,470177.7362035
Turkey,11644135.144269701
Turkmenistan,9075.7913814
Turks and Caicos Isl.,610.2545124000001
Tuvalu,432.7393831
Uganda,76575.9457294
Ukraine,2374850.8974855994
United Arab Emirates,4390941.498395201
United Kingdom,68790380.40459362
United States,79748559.9791764
