Partner,Value
Afghanistan,1.4574
Algeria,0.2974
Andorra,560.49603
Angola,104920.37427
Antarctica,0.02532
Argentina,10422.62375
Armenia,0.7206
Australia,2705.0819
Austria,8647.65564
Azerbaijan,181.00152
"Bahamas, The",99.55668
Bahrain,5256.62247
Bangladesh,3743.2340999999997
Barbados,83.07697
Belgium,25098.46596
Belize,20.7586
Bermuda,1.2508
Bhutan,0.08495000000000001
Bolivia,0.05455
Bosnia and Herzegovina,0.5897899999999999
Botswana,131117.19206
Brazil,8901.46006
British Indian Ocean Ter.,10.66272
British Virgin Islands,0.70992
Bulgaria,23.198
Burkina Faso,0.1915
Burundi,0.6167
Cambodia,2497.3685600000003
Cameroon,641.17466
Canada,9684.786629999999
Cape Verde,0.4859
Cayman Islands,0.22244
Chile,549.96393
China,639951.19599
Christmas Island,0.53605
Cocos (Keeling) Islands,0.6862999999999999
Colombia,0.73575
Comoros,487.72684999999996
"Congo, Dem. Rep.",58957.268749999996
"Congo, Rep.",7373.94503
Costa Rica,26.0657
Cote d'Ivoire,1177.75521
Croatia,58.74432
Cuba,72.2507
Cyprus,668.8646200000001
Czech Republic,8585.039429999999
Denmark,1452.6693300000002
Djibouti,20.04927
Dominican Republic,40.294219999999996
Ecuador,9.403730000000001
"Egypt, Arab Rep.",22300.49327
Equatorial Guinea,337.88884
Eritrea,28.125819999999997
Estonia,2324.22312
Ethiopia(excludes Eritrea),9.586120000000001
Finland,746.1609299999999
France,81325.08067
Gabon,92.54275
"Gambia, The",8.42015
Georgia,2.10115
Germany,64003.106980000004
Ghana,2390.51515
Greece,323.69784
Grenada,0.42165
Guatemala,0.16744
Guinea,35.9685
Guyana,0.28585
Haiti,68.03399999999999
Honduras,0.8150999999999999
"Hong Kong, China",17838.03027
Hungary,897.3586
India,178108.5281
Indonesia,15426.859770000001
"Iran, Islamic Rep.",341.52558
Iraq,1370.06224
Ireland,89076.67362
Israel,7105.10334
Italy,152050.13337
Jamaica,16.98198
Japan,115737.46605
Jordan,3.35615
Kazakhstan,1.9377
Kenya,592906.3983199999
"Korea, Dem. Rep.",5.17787
"Korea, Rep.",9490.4509
Kuwait,272.10744
Latvia,0.37354
Lebanon,258.86937
Lesotho,58005.66905
Liberia,0.36275
Lithuania,4562.20047
Luxembourg,150.8186
"Macedonia, FYR",9.95344
Madagascar,47922.79739000001
Malawi,16820.86924
Malaysia,30318.54679
Mali,0.54912
Malta,4013.9933
Mauritania,17.912630000000004
Mauritius,108397.16737000001
Mexico,4677.82447
Moldova,49.20968
Mongolia,4.4956
Morocco,4093.11459
Mozambique,507273.97927
Myanmar,71.06986
Namibia,109226.83563999999
Netherlands,56034.40335
New Zealand,788.85412
Niger,0.05016
Nigeria,496852.80656
Norway,8327.39365
Oman,65.61926
"Other Asia, nes",77454.84911
Pakistan,11051.7286
Panama,202.91199
Peru,0.2017
Philippines,179.58895
Poland,6429.450420000001
Portugal,116722.27854999999
Qatar,1798.9441499999998
Romania,25839.09849
Russian Federation,12901.15572
Rwanda,1345.0939400000002
Saint Helena,0.53872
Samoa,0.26
San Marino,0.2563
Sao Tome and Principe,0.19970000000000002
Saudi Arabia,4221.64095
Senegal,637.16094
"Serbia, FR(Serbia/Montenegro)",80.54156
Seychelles,1997.88265
Sierra Leone,4.409
Singapore,65681.67372
Slovak Republic,2660.32769
Slovenia,43.29549
Solomon Islands,0.06348
Somalia,7204.714800000001
South Africa,11925348.054750001
South Sudan,0.87222
Spain,140493.58181
Sri Lanka,133.42616
St. Kitts and Nevis,0.03614
St. Lucia,18.3327
Sudan,0.4385
Suriname,0.7771
Sweden,1824.53446
Switzerland,39730.62466
Syrian Arab Republic,6.97456
Tajikistan,6.96516
Tanzania,186988.3137
Thailand,22334.05949
Tokelau,146.51432
Tunisia,24.58588
Turkey,43827.18315
Tuvalu,17.3896
Uganda,119100.88037
Ukraine,339.72242
United Arab Emirates,108013.65986
United Kingdom,108837.70354000002
United States,223879.86304
Unspecified,585.94278
Uruguay,87.97173
Vietnam,2859.91057
Zambia,104117.5419
Zimbabwe,94772.11894
