Partner,Value
Albania,4.260575
Algeria,10256.04160814057
Angola,1906.1762342018
Antigua and Barbuda,8.180304
Argentina,3338.14756376046
Australia,17783.19175077181
Austria,23506.55181371497
Azerbaijan,13.6920053699
Bangladesh,9399.79361122285
Belarus,27324.10201759612
Belgium,195246.45137009877
Benin,953853.2527126119
Bolivia,307.03327240344
Bosnia and Herzegovina,114.09326986684
Brazil,90364.52867073833
Bulgaria,4866.279071128929
Burkina Faso,576704.8270895049
Cambodia,1250.0724570257
Cameroon,11355.941944323791
Canada,64302.483665539825
Cape Verde,407.0135703600967
Central African Republic,3330.3731834362
Chad,5253.3947262544
Chile,620.5322945998
China,1751827.7476722815
Colombia,102.96925620476
Comoros,2445.205283136
"Congo, Dem. Rep.",6970.94274340904
"Congo, Rep.",24100.881420598398
Costa Rica,69.03219139586
Cote d'Ivoire,505581.3180906555
Croatia,613.5228
Cyprus,1568.62655357925
Czech Republic,5365.350787965253
Denmark,33263.83394607702
Djibouti,69.366395032
Dominican Republic,1.7418253138000002
Ecuador,12.5431328
"Egypt, Arab Rep.",69633.44369527858
Equatorial Guinea,2940.6209680507004
Estonia,453.93519208620006
Ethiopia(excludes Eritrea),6218.663466246439
Finland,24109.85395307104
France,908030.2070561
Gabon,17941.66595589929
"Gambia, The",549.899568064
Georgia,32.56086159084
Germany,251169.23382519773
Ghana,792857.9264876986
Gibraltar,22.58786442
Greece,78466.8371016746
Guatemala,10852.301473302301
Guinea,13996.9314218943
Guinea-Bissau,906.1057417984
Guyana,13.63384
Haiti,567.10005880132
"Hong Kong, China",8436.262920638299
Hungary,1544.0878642538041
Iceland,391.12083612690003
India,826919.2860367605
Indonesia,162860.39283957935
"Iran, Islamic Rep.",72.19330967904
Ireland,56174.608073953124
Israel,21879.53854864569
Italy,151105.78338491506
Jamaica,13.121718885
Japan,339541.47482890665
Jordan,185.88725885422
Kenya,2275.90504970642
"Korea, Dem. Rep.",12733.236231461899
"Korea, Rep.",86648.01177856176
Kuwait,12632.10226859515
Lao PDR,44.194313909899996
Latvia,1312.45399601998
Lebanon,18484.013370295866
Liberia,3887.9865308322496
Libya,12.781725
Lithuania,7025.98144060263
Luxembourg,485.54808596492
Madagascar,728.6771455744
Malaysia,297606.1071502418
Mali,324385.0415841695
Malta,69.89847025139001
Marshall Islands,4.090152
Mauritania,53066.56150205842
Mauritius,668.2075888462624
Mexico,18365.24211057537
Morocco,124706.69023900182
Mozambique,164.30814883945
Myanmar,1722.48914748768
Namibia,556.17192251852
Netherlands,433727.15233489126
New Zealand,591.9450629963201
Nicaragua,3447.24873856
Niger,341924.9439877915
Nigeria,559755.4714573859
Norfolk Island,143.4048
Norway,15937.79396190619
Oman,8250.313818393792
"Other Asia, nes",58754.72341432238
Pakistan,61648.92439565662
Panama,304.08795906093
Paraguay,7.37079475
Philippines,535.93195702299
Poland,39557.1070122689
Portugal,35432.9191360745
Qatar,36699.41062966255
Romania,2207.03058228466
Russian Federation,64320.953870727346
Rwanda,210.58603731132
San Marino,65.85270660892769
Sao Tome and Principe,494.0960416832
Saudi Arabia,252146.0145307881
Senegal,120913.64001705844
"Serbia, FR(Serbia/Montenegro)",100.16125949027
Seychelles,80.91965578796
Sierra Leone,1285.9300476
Singapore,25436.589173601653
Slovak Republic,6800.07837989942
Slovenia,848.3319485417701
Somalia,161.3353696592
South Africa,96265.80251166965
Spain,130186.76828425041
Sri Lanka,643.3478901437501
St. Vincent and the Grenadines,244.5139756048
Sudan,422.10300733744
Swaziland,39964.87807385293
Sweden,15717.053448382543
Switzerland,19490.65842365734
Tanzania,40.97279999999999
Thailand,65412.428326740075
Tunisia,12903.501781009505
Turkey,184225.12203678224
Uganda,2314.71820659904
Ukraine,116997.39445841472
United Arab Emirates,118839.38095046896
United Kingdom,63231.522685510514
United States,346007.27630763175
Uruguay,116.68264284424
Venezuela,275.266469632
Vietnam,79819.16111860835
Zambia,1731.621496
Zimbabwe,25.608
