Partner,Value
Afghanistan,58156.18668
Albania,39806.318380000004
Algeria,1480710.13855
American Samoa,5411.04689
Andorra,3531.49414
Angola,3179322.13585
Anguila,154.71092
Antarctica,506.644
Antigua and Barbuda,22636.700230000002
Argentina,7248033.247099999
Armenia,30658.72488
Aruba,17148.240599999997
Australia,58309325.079119995
Austria,3751676.3514099997
Azerbaijan,1244357.2994
"Bahamas, The",142025.32092
Bahrain,1947870.61375
Bangladesh,4798544.704670001
Barbados,79855.47377
Belarus,339165.73384999996
Belgium,10585904.19251
Belize,9568.984840000001
Benin,1744415.38892
Bermuda,10242.673560000001
Bhutan,203306.14730999997
Bolivia,146104.31347
Bosnia and Herzegovina,51310.32228
Botswana,157056.29327999998
Bouvet Island,676.09688
Brazil,14465824.21068
British Indian Ocean Ter.,26.577560000000002
British Virgin Islands,11218.97295
Brunei,2568458.65017
Bulgaria,538509.03907
Burkina Faso,50529.94247
Burundi,16438.27898
Cambodia,36594723.73225
Cameroon,977900.6478599999
Canada,10664515.04829
Cape Verde,28696.04367
Cayman Islands,18177.413259999998
Central African Republic,5049.63826
Chad,150577.60295
Chile,3879126.3713
China,338294507.60713
Christmas Island,525.33721
Cocos (Keeling) Islands,110.09154
Colombia,1094637.74523
Comoros,8592.88542
"Congo, Dem. Rep.",738063.40291
"Congo, Rep.",849230.7609999999
Cook Islands,32718.76147
Costa Rica,526354.18469
Cote d'Ivoire,522833.11762000003
Croatia,193696.49031999998
Cuba,35923.37332
Curaçao,36725.74621
Cyprus,173518.79227
Czech Republic,4281517.00308
Denmark,3760452.99091
Djibouti,203828.24291
Dominica,13264.06249
Dominican Republic,430923.89090999996
East Timor,36618.18516
Ecuador,1167481.5318800001
"Egypt, Arab Rep.",4122431.52259
El Salvador,221906.45064
Equatorial Guinea,194240.85457
Eritrea,8576.02051
Estonia,291559.60261
Ethiopia(excludes Eritrea),261539.92049
Faeroe Islands,9026.460200000001
Falkland Island,5091.19752
Fiji,257886.58606
Finland,1931795.7505600003
France,20564780.33513
French Polynesia,179921.03959
Gabon,328965.34414
"Gambia, The",109073.99717
Georgia,175285.55873999998
Germany,46859764.44814001
Ghana,864004.3391399999
Gibraltar,1479.25372
Greece,939335.1272600002
Greenland,24056.476949999997
Grenada,16939.12647
Guam,43987.36805
Guatemala,413675.81449
Guinea,105365.64015
Guinea-Bissau,9397.67595
Guyana,46914.88372
Haiti,59480.4669
Heard Island and McDonald Isla,0.05872
Holy See,399.1246
Honduras,254890.05667
"Hong Kong, China",59557054.146239996
Hungary,2930424.15136
Iceland,73232.00690000001
India,52019297.19882
Indonesia,69319926.13396999
"Iran, Islamic Rep.",1731558.7601299998
Iraq,1271518.68518
Ireland,2744163.20615
Israel,5330686.07938
Italy,18591154.42071
Jamaica,281788.44188999996
Japan,245193053.21839
Jordan,705755.60991
Kazakhstan,373101.80966
Kenya,1106082.12286
Kiribati,208721.63149
"Korea, Dem. Rep.",3653.32412
"Korea, Rep.",55783730.63040999
Kuwait,4798902.18299
Kyrgyz Republic,6293.57185
Lao PDR,25907265.43483
Latvia,325249.18082999997
Lebanon,554218.98427
Lesotho,4890.85407
Liberia,264180.50328
Libya,2602090.3059
Lithuania,277317.87725
Luxembourg,111603.19784000001
Macao,148611.20116
"Macedonia, FYR",14866.63604
Madagascar,154719.77648
Malawi,32994.19524
Malaysia,98357880.01095
Maldives,760202.56975
Mali,150735.59830999997
Malta,282059.18976
Marshall Islands,1147540.88664
Mauritania,130933.57790999999
Mauritius,379211.4500699999
Mexico,16686771.932810001
"Micronesia, Fed. Sts.",412279.35770999995
Moldova,20517.399449999997
Mongolia,266274.92092
Montenegro,15511.90109
Montserrat,541.7037
Morocco,824431.30958
Mozambique,705938.18157
Myanmar,30564301.596330002
Namibia,55138.306379999995
Nauru,50165.9813
Nepal,482383.76273
Netherlands,24905435.81445
New Caledonia,181787.36758000002
New Zealand,9616268.32556
Nicaragua,74807.46898
Niger,57303.7007
Nigeria,2329024.40208
Niue,6.15989
Northern Mariana Islands,10105.49438
Norway,2680416.41694
Occ.Pal.Terr,7108.93267
Oman,4323287.35699
"Other Asia, nes",51946186.08213
Pakistan,6495086.03109
Palau,3845.59766
Panama,755336.4194
Papua New Guinea,1433210.39023
Paraguay,307340.16458
Peru,2234509.07556
Philippines,44468937.92287
Pitcairn,27.228769999999997
Poland,3386216.4089
Portugal,1401419.86759
Qatar,14390371.63246
Romania,1591736.93127
Russian Federation,12749335.76467
Rwanda,174165.01898
Saint Helena,64.5798
Saint Pierre and Miquelon,96.67249999999999
Samoa,49229.421780000004
San Marino,614.01237
Sao Tome and Principe,2546.6783100000002
Saudi Arabia,30485056.920879997
Senegal,891234.9785999999
"Serbia, FR(Serbia/Montenegro)",122926.44807
Seychelles,76355.03102
Sierra Leone,46035.147450000004
Singapore,65124545.75784
Slovak Republic,1058062.3647
Slovenia,572259.84112
Solomon Islands,133814.8436
Somalia,77777.34726
South Africa,14214433.86565
South Georgia and the South Sa,71.17466
South Sudan,26836.81306
Spain,7412655.92459
Sri Lanka,1931786.41422
St. Kitts and Nevis,17652.849400000003
St. Lucia,34633.35267
St. Vincent and the Grenadines,4533.906919999999
Sudan,556222.2824799999
Suriname,99250.57844999997
Swaziland,39804.79111
Sweden,4715397.73503
Switzerland,28197379.506610002
