Partner,Value
Afghanistan,166470.075
Albania,1.148
American Samoa,64.74000000000001
Andorra,262.67
Anguila,2903.225
Argentina,18985.913
Armenia,1879.3379999999997
Australia,1864.554
Austria,11610.6
Azerbaijan,23328.465
Bangladesh,31850.750000000004
Belarus,126920.175
Belgium,116481.484
Bhutan,385.204
Bosnia and Herzegovina,213.632
Brazil,23136.322
British Virgin Islands,28569.357
Bulgaria,12917.089999999998
Cambodia,134.888
Canada,57498.755999999994
Central African Republic,30.0
Chile,1747.756
China,3045374.1050000004
Colombia,169.824
"Congo, Dem. Rep.",0.84
Costa Rica,280.18
Cote d'Ivoire,2.7680000000000002
Croatia,8354.998
Cuba,8.012
Cyprus,658.563
Czech Republic,21153.104
Denmark,8311.896
Ecuador,33090.624
"Egypt, Arab Rep.",2355.246
El Salvador,33.5
Equatorial Guinea,7.625
Estonia,883.461
Finland,11077.011
France,27670.789
Georgia,34549.975999999995
Germany,372353.836
Ghana,92.496
Gibraltar,178.575
Greece,6649.861
Honduras,9.399999999999999
"Hong Kong, China",690.258
Hungary,10390.134
India,116928.853
Indonesia,4170.5070000000005
"Iran, Islamic Rep.",297772.238
Iraq,3319.515
Ireland,3049.986
Israel,2209.78
Italy,215368.664
Jamaica,4.796
Japan,337765.804
Kazakhstan,3861940.59
"Korea, Dem. Rep.",398.25
"Korea, Rep.",164607.264
Kuwait,128.247
Kyrgyz Republic,215225.2926
Latvia,69166.31899999999
Lebanon,67.933
Lithuania,60681.485
Luxembourg,320.474
"Macedonia, FYR",0.7
Malaysia,20364.893
Malta,11.45
Mauritius,2.988
Mexico,2100.152
Moldova,2205.272
Mongolia,780.0
Morocco,418.29
Myanmar,492.02
Namibia,20.175
Netherlands,45224.581000000006
New Zealand,683.072
Nigeria,0.144
Norway,77.107
Oman,19.264
"Other Asia, nes",2508.853
Pakistan,232621.84000000003
Peru,1.2
Philippines,120.759
Poland,47021.066999999995
Portugal,357.47
Qatar,5317.829
Romania,13915.583
Russian Federation,4453619.53852
San Marino,1326.885
Saudi Arabia,238.649
"Serbia, FR(Serbia/Montenegro)",3202.704
Singapore,1823.397
Slovak Republic,7583.941999999999
Slovenia,7562.498
South Africa,1129.188
Spain,11428.859
Sri Lanka,796.809
Sweden,18653.257
Switzerland,45370.345
Thailand,9730.918
Tunisia,39.512
Turkey,1657784.139
Turkmenistan,51828.747
Ukraine,159226.04200000002
United Arab Emirates,106346.00299999998
United Kingdom,22485.905
United States,196862.79200000002
Unspecified,35624.342000000004
Uzbekistan,1454850.40948
Vietnam,23276.453
