Partner,Value
Afghanistan,29.7817275303
Albania,172.7309993517
Algeria,1.4000090256
Angola,2732.7940772102997
Anguila,8563.937824341001
Antigua and Barbuda,131832.9061207074
Argentina,111519.692508651
Armenia,8.4586839732
Aruba,16021.037929347001
Australia,130625.1983136873
Austria,103820.7335897727
Azerbaijan,1269.2021966949
"Bahamas, The",9576.878703145801
Bahrain,292247.1740171037
Bangladesh,11948.992642089
Barbados,536668.2595051894
Belarus,1164.2220994338
Belgium,897659.0339542587
Belize,105311.9467777992
Bermuda,2108.3392688934005
Bolivia,2634.7577641392
Bonaire,163599.78204533967
Bosnia and Herzegovina,83.3957364525
Brazil,1568537.5213572413
British Indian Ocean Ter.,10.83763332
British Virgin Islands,18651.430288862703
Brunei,92.52940362660001
Bulgaria,1120.0060360392001
Bunkers,189056.557010727
Cambodia,3722.5444934817
Cameroon,6842.2092119838
Canada,1161781.9959279443
Cayman Islands,18882.5562924258
Chad,1.1546817248999999
Chile,680968.0212512233
China,3582589.898707547
Christmas Island,13.911257196
Colombia,628786.8540535987
Comoros,1073.4980796966001
"Congo, Dem. Rep.",483.8371082103
Cook Islands,6.709116856500001
Costa Rica,236817.0276674805
Cote d'Ivoire,3957.6145368536995
Croatia,1840.4468904024
Cuba,101550.58741902601
Curaçao,46314.8263115703
Cyprus,5467.6865393529
Czech Republic,20419.6363582119
Denmark,80679.8772137379
Dominica,139566.6368162064
Dominican Republic,406094.2660478367
Ecuador,36936.6434748285
"Egypt, Arab Rep.",8510.813285579401
El Salvador,17845.026866778302
Equatorial Guinea,306.206077269
Estonia,1381.3189939413
Ethiopia(excludes Eritrea),12.8147611254
Fiji,3019.856185884
Finland,22465.2554892576
Fr. So. Ant. Tr,3551.9790960777
France,1070024.5496680294
Gabon,1576.8259015463998
"Gambia, The",14.4714976944
Georgia,170.3524941702
Germany,1090288.1275116997
Ghana,5181.0950978421
Gibraltar,2.8479879036
Greece,65527.366774490394
Grenada,328666.5732309579
Guam,389.1959946924
Guatemala,143400.42458184448
Guinea,1630.0987915182
Guyana,1850364.7573232932
Haiti,10553.019450459902
Holy See,20.187312885
Honduras,43701.7367074263
"Hong Kong, China",149681.08211946272
Hungary,62305.7171134002
Iceland,908.11076136
India,423236.55900604645
Indonesia,151778.0814040818
"Iran, Islamic Rep.",301.1930796381
Ireland,152149.76840264822
Israel,45582.9770714766
Italy,823612.6691121522
Jamaica,884533.5296030516
Japan,996222.6091385675
Jordan,35344.2862971819
Kazakhstan,13.1806052775
Kenya,45837.5934972057
"Korea, Dem. Rep.",6384.4597085037
"Korea, Rep.",1551899.4004310626
Kuwait,481.7070394866
Lao PDR,89.7887556705
Latvia,2576.5191061134
Lebanon,452.454905049
Lesotho,17.0820052176
Liberia,9807.135771327
Lithuania,58210.023429184504
Luxembourg,1540.7759652474
Macao,49.8927920388
Madagascar,29580.1912268025
Malawi,88.5120765432
Malaysia,175781.8452466752
Maldives,632.9337758388
Mali,28.051999796999997
Malta,25892.9726801808
Marshall Islands,3495.0111949752
Mauritania,1880.1626709774
Mauritius,322.8911467635
Mexico,1880476.249606427
"Micronesia, Fed. Sts.",27.929114064
Moldova,9.2866080924
Mongolia,9.4328865312
Montserrat,5060.980067983501
Morocco,610517.1605954347
Mozambique,283.50212379420003
Myanmar,484.1462472591
Namibia,3373.3523945889
Nauru,10.390506918
Netherlands,1733193.1938814563
New Zealand,203895.1346731467
Nicaragua,15483.420102171902
Niger,9.2008841895
Nigeria,1231.35946119
Niue,1.0356454245
Northern Mariana Islands,2.5335188712
Norway,62138.5483961004
Oman,6726.4564775916
"Other Asia, nes",213709.02279341943
Pakistan,32734.9823138898
Panama,569040.9874109329
Paraguay,524.9962779552
Peru,1223341.1056688828
Philippines,6930.6323074119
Poland,62030.9779268097
Portugal,186306.2370591093
Qatar,2416.9334749254
Romania,16777.8131338563
Russian Federation,195197.143763778
Rwanda,1.893624729
Saint Maarten (Dutch part),131546.5444607118
San Marino,87.512408508
Sao Tome and Principe,818.0356671261001
Saudi Arabia,7075.6186693542
Senegal,15162.5084520954
"Serbia, FR(Serbia/Montenegro)",1242.7247628864
Seychelles,18.7732386249
Sierra Leone,135.5980399962
Singapore,179263.6367498265
Slovak Republic,42062.5696890882
Slovenia,11638.3632706524
Solomon Islands,0.2998115775
Somalia,0.324240669
South Africa,144991.61982306628
Spain,2312281.306385841
Sri Lanka,8222.8067334228
St. Kitts and Nevis,94713.55080807091
St. Lucia,302057.3111614178
St. Vincent and the Grenadines,221667.4814393901
Sudan,3.3334605765000003
Suriname,465442.429597819
Swaziland,621.717417573
Sweden,80924.3305451826
Switzerland,241489.68097226368
Syrian Arab Republic,161.2136450676
Tanzania,133.9430800884
Thailand,621642.8608740717
Togo,0.0408632076
Tokelau,7.3263585684
Tonga,37.6225775712
Tunisia,3567.3281163498
Turkey,625998.8795445082
Turks and Caicos Isl.,4262.9257690983
Uganda,30.690933899399997
Ukraine,18998.8722284184
United Arab Emirates,72649.6424916729
United Kingdom,1390206.7184977042
United States,23393718.108683527
Unspecified,150.9412861194
Uruguay,49264.2390653151
Venezuela,46828.3228537983
Vietnam,105254.8346710293
Zambia,93.479029038
Zimbabwe,688.6135975712999
