Partner,Value
Afghanistan,575.2766512708962
Albania,53473.98294204783
Algeria,7562144.7416264275
American Samoa,139.2512184551365
Andorra,409.60673107525304
Angola,29638.521773777313
Antigua and Barbuda,28.17399642003496
Argentina,598331.445503833
Armenia,294.29054523315284
Australia,56886.80507183837
Austria,969531.8319059226
Azerbaijan,79163.14928536279
"Bahamas, The",2089.8248106347464
Bahrain,27553.700443079564
Bangladesh,470100.73169824184
Barbados,72.78528100561249
Belarus,36228.702713079474
Belgium,2522967.065506899
Belize,1635.834184625111
Benin,45953.51522927205
Bermuda,13.382315359883199
Bolivia,285.78336639439294
Bosnia and Herzegovina,12298.823831901336
Botswana,10.1551514188628
Brazil,1137343.403524524
Brunei,56.57352620241899
Bulgaria,1284481.3627695502
Burkina Faso,79395.4278277088
Burundi,1930.3487764365084
Cambodia,4233.149473116277
Cameroon,125010.14370669369
Canada,626318.6404804194
Cape Verde,397.2321435470832
Cayman Islands,83.74197853495299
Central African Republic,1060.3286187102863
Chad,18826.916356605652
Chile,27089.675078621956
China,9983295.245331543
Colombia,25049.736544062733
Comoros,2882.8484042139335
"Congo, Rep.",43308.459877686444
Costa Rica,25086.383509398653
Cote d'Ivoire,320279.4097661523
Croatia,38147.513300390645
Cuba,6946.479884727447
Cyprus,11895.935352939063
Czech Republic,912846.8395220742
Denmark,354077.92519880587
Djibouti,2979.8786114437785
Dominican Republic,5709.763054875274
Ecuador,75613.90444611263
"Egypt, Arab Rep.",2250294.0704767657
El Salvador,10124.892238887569
Equatorial Guinea,14812.395677361996
Eritrea,1568.9545417087443
Estonia,12407.58783206992
Ethiopia(excludes Eritrea),136752.72786514796
Fiji,34.075789
Finland,283775.33849121886
France,34719663.387767725
French Polynesia,4249.825389354683
Gabon,90588.51915139565
"Gambia, The",21844.075235137352
Georgia,5165.069836002597
Germany,16357185.71918864
Ghana,161205.81125076616
Gibraltar,1040.380805076835
Greece,747594.2992082831
Grenada,28.71979481135588
Guatemala,941.0589570884974
Guinea,82670.44893740054
Guinea-Bissau,229.44082299821991
Guyana,114.9014709806184
Haiti,6080.514809118168
Honduras,310.210756495109
"Hong Kong, China",258617.14975657093
Hungary,677026.1853559844
Iceland,19740.846656618392
India,2017538.605109207
Indonesia,370405.48333495134
"Iran, Islamic Rep.",48730.06804490778
Iraq,48014.632080517826
Ireland,561287.0094432969
Italy,25843025.80479615
Jamaica,44.11439267930984
Japan,1212241.3353290681
Jordan,134232.97879398862
Kazakhstan,170449.55128946604
Kenya,12637.020281151039
"Korea, Rep.",1295836.9561746845
Kuwait,97198.36181995667
Kyrgyz Republic,1389.2581130612446
Lao PDR,147.51557956592947
Latvia,18426.437029825083
Lebanon,110105.28439806093
Lesotho,23.882014044894
Liberia,6420.797651976273
Libya,2600401.8527675546
Lithuania,52944.0165022233
Luxembourg,47629.12243355309
Macao,3354.3067565390456
"Macedonia, FYR",12836.456079990545
Madagascar,13965.486934074679
Malawi,22109.30895608107
Malaysia,321062.5188756112
Maldives,740.7237274733286
Mali,51345.67050550845
Malta,470614.157416865
Mauritania,59606.62170734248
Mauritius,22130.306801748346
Mexico,395583.62235600257
Moldova,19101.080717773075
Mongolia,7.5814528842638
Montenegro,744.4349131469905
Morocco,1486771.0676507347
Mozambique,1887.7047672860285
Myanmar,2400.1444274132514
Namibia,2337.5174949623934
Nauru,0.83325015704865
Nepal,553.1279183485256
Netherlands,2402632.7372868042
New Caledonia,1162.2011598395459
New Zealand,71772.94927310495
Nicaragua,1442.0680508616756
Niger,47919.89471844056
Nigeria,48163.563706415574
Norway,159076.71026784816
Occ.Pal.Terr,862.4183731098241
Oman,112597.24863142961
"Other Asia, nes",746949.6551189998
Pakistan,155816.6445795197
Panama,6026.87689501398
Paraguay,29584.27170457189
Peru,12452.91522324376
Philippines,104935.17219593085
Pitcairn,692.9336721817001
Poland,1549368.4482754306
Portugal,1012574.3576580589
Qatar,204358.26031523547
Romania,1101620.257305463
Russian Federation,2177216.8373845518
Rwanda,3041.5063851820605
Saint Helena,0.87256808214256
Samoa,4.70077013304912
Saudi Arabia,1494747.0264636716
Senegal,226044.01551539393
"Serbia, FR(Serbia/Montenegro)",432553.22308257926
Seychelles,32763.526955287703
Sierra Leone,18411.786626157806
Singapore,325535.2331987744
Slovak Republic,648076.4216726823
Slovenia,103716.17198026979
Somalia,506.37810935339076
South Africa,100522.87774509039
Spain,6453397.887652174
Sri Lanka,18310.818215734398
St. Vincent and the Grenadines,6889.333854822382
Sudan,88664.0013308314
Suriname,568.9561921217696
Swaziland,66.64151235471208
Sweden,664136.2536198162
Switzerland,1366331.1642388315
Syrian Arab Republic,98267.62661373444
Tajikistan,317.06441545339493
Tanzania,5830.351206030826
Thailand,508262.6371368145
Togo,28460.085290505136
Tonga,3.69309125118752
Trinidad and Tobago,710.6167640600233
Turkey,5076391.352321332
Turkmenistan,9298.848527588829
Turks and Caicos Isl.,0.2842301883446
Tuvalu,5.862485199044
Uganda,656.0216726062567
Ukraine,1796213.519204284
United Arab Emirates,963467.5955349565
United Kingdom,2698668.362790172
United States,4404161.353809148
Unspecified,7365150.232719569
Uruguay,177247.9539553969
Uzbekistan,7030.637090110699
Vanuatu,113.36351033551335
Venezuela,252.6549132430838
Vietnam,355673.82326456864
Wallis and Futura Isl.,11.998902008308201
Yemen,9974.232794139862
Zambia,0.64380806051984
Zimbabwe,25374.695600815365
