Partner,Value
Afghanistan,807825.203
Albania,2254491.0670000003
Algeria,12198498.685999999
American Samoa,746.747
Andorra,1720.374
Angola,898734.202
Anguila,2016.247
Antarctica,1057.5939999999998
Antigua and Barbuda,82547.67499999999
Argentina,2902086.313
Armenia,13399.723000000002
Aruba,6969.093000000001
Australia,6840797.706
Austria,11774172.618999999
Azerbaijan,9979546.506
"Bahamas, The",352864.566
Bahrain,1893687.045
Bangladesh,4545153.061
Barbados,42155.776
Belarus,3327209.43
Belgium,29965914.647
Belize,57864.546
Benin,609947.921
Bermuda,6073.700000000001
Bhutan,6425.773999999999
Bolivia,553206.5190000001
Bosnia and Herzegovina,2888977.498
Botswana,13322.077
Brazil,13195621.962
British Indian Ocean Ter.,1234.4879999999998
British Virgin Islands,128561.759
Brunei,19236.993
Bulgaria,22092937.625
Burkina Faso,245082.193
Burundi,12872.603
Cambodia,464946.42500000005
Cameroon,899147.504
Canada,11187826.409
Cape Verde,45596.973
Cayman Islands,181443.85499999998
Central African Republic,24887.644
Chad,286848.787
Chile,2615595.367
China,101982975.914
Christmas Island,30.421
Cocos (Keeling) Islands,1.755
Colombia,6768167.523
Comoros,91836.72200000001
"Congo, Dem. Rep.",235152.948
"Congo, Rep.",262726.92100000003
Cook Islands,28694.782
Costa Rica,463544.08499999996
Cote d'Ivoire,1713889.3680000002
Croatia,3076427.5310000004
Cuba,267250.005
Curaçao,189.41299999999998
Cyprus,5730450.269999999
Czech Republic,16312483.131999997
Denmark,9440448.668000001
Djibouti,1045438.1
Dominica,7284.193
Dominican Republic,587121.2559999999
East Timor,2.62
Ecuador,964537.847
"Egypt, Arab Rep.",24725034.033
El Salvador,74551.141
Equatorial Guinea,125191.378
Eritrea,60135.689
Estonia,1210204.174
Ethiopia(excludes Eritrea),1834837.665
Faeroe Islands,1824.0929999999998
Falkland Island,585.126
Fiji,8544.313
Finland,5499021.291
Fr. So. Ant. Tr,429.742
France,69451365.799
French Polynesia,44091.858
Gabon,334522.669
"Gambia, The",225626.50699999998
Georgia,8264323.863
Germany,167085109.02699998
Ghana,1977941.5189999999
Gibraltar,383019.799
Greece,15804311.143
Greenland,353.80999999999995
Grenada,7950.754
Guam,6754.17
Guatemala,265169.728
Guinea,603879.444
Guinea-Bissau,19991.54
Guyana,137110.826
Haiti,539115.809
Holy See,1198.37
Honduras,93070.194
"Hong Kong, China",4115687.7569999998
Hungary,12880312.467999998
Iceland,215452.47999999998
India,34410530.03
Indonesia,7410029.505
"Iran, Islamic Rep.",22969863.402000003
Iraq,52251946.18199999
Ireland,6854865.129000001
Israel,26710569.083
Italy,87809975.617
Jamaica,376895.384
Japan,19552735.359
Jordan,3236582.4129999992
Kazakhstan,9838184.497000001
Kenya,1075474.526
Kiribati,162.484
"Korea, Dem. Rep.",2893.781
"Korea, Rep.",31643210.762000002
