Partner,Value
Afghanistan,11522.67501
Albania,1.48
Algeria,4559.2625499999995
American Samoa,7085.104700000001
Angola,17900.835450000002
Anguila,2.8145
Antigua and Barbuda,6.0038
Argentina,8290.44676
Armenia,506.01746
Aruba,105.49712
Australia,760006.1418
Austria,136364.8888
Azerbaijan,1009.5644000000001
"Bahamas, The",874.133
Bahrain,11286.07579
Bangladesh,84738.68389
Barbados,2283.8728
Belarus,4875.5964
Belgium,1021099.5394900001
Belize,0.085
Benin,395.35068
Bermuda,7859.38516
Bolivia,8.4818
Bosnia and Herzegovina,13877.05565
Botswana,3729.65582
Brazil,72631.34571
British Indian Ocean Ter.,3.4950000000000006
British Virgin Islands,705.47991
Brunei,200.115
Bulgaria,41557.15711
Burkina Faso,57.04052000000001
Burundi,378709.92045
Cambodia,1746.79537
Cameroon,1194.7147300000001
Canada,163934.45598
Cape Verde,770.7959999999999
Central African Republic,381.23056
Chad,30.4
Chile,1959.21758
China,10173187.2428
Christmas Island,402.02
Cocos (Keeling) Islands,0.18
Colombia,3887.70122
Comoros,19827.1758
"Congo, Dem. Rep.",698974.25
"Congo, Rep.",3848.7805799999996
Costa Rica,912.4969
Cote d'Ivoire,7332.20976
Croatia,71817.43109
Cuba,825.38364
Curaçao,3896.31533
Cyprus,20676.85945
Czech Republic,53180.12035999999
Denmark,163247.61046999999
Djibouti,1988.0542
Dominica,2174.328
Dominican Republic,1528.4978
East Timor,2.0
Ecuador,2048.5672
"Egypt, Arab Rep.",165152.79877
El Salvador,3.7961600000000004
Equatorial Guinea,7.94905
Estonia,7827.794789999999
Ethiopia(excludes Eritrea),24480.47546
Fiji,188.4
Finland,249333.4303
France,466733.40419
Gabon,909.27635
"Gambia, The",1138.35542
Georgia,16726.3003
Germany,1283398.7447600001
Ghana,33611.57029
Gibraltar,570.5245
Greece,33885.26254
Guatemala,776.7130000000001
Guinea,6093.46566
Guinea-Bissau,0.5
Honduras,1436.18915
"Hong Kong, China",425559.26238000003
Hungary,29434.014909999998
Iceland,420.8904
India,8534069.741820276
Indonesia,748165.6606
"Iran, Islamic Rep.",66188.0817
Iraq,1815.9247300000002
Ireland,113539.72170000001
Israel,95107.44191
Italy,603192.2053899999
Jamaica,857.3809699999999
Japan,2551524.046211773
Jordan,11260.681480000001
Kazakhstan,4.804
Kenya,2378557.11258
Kiribati,111.44999999999999
"Korea, Dem. Rep.",6581.39654
"Korea, Rep.",603915.6028
Kuwait,12845.78806
Lao PDR,0.408
Latvia,4104.36013
Lebanon,26013.762519999997
Lesotho,6178.02045
Liberia,2518.87287
Libya,1379.5952499999999
Lithuania,7871.09263
Luxembourg,4028.56065
Macao,4945.780000000001
"Macedonia, FYR",726.9996000000001
Madagascar,60225.20269
Malawi,358914.13153
Malaysia,454399.53903000004
Mali,9516.20325
Malta,17353.439169999998
Marshall Islands,12983.0874
Mauritania,830.7168800000001
Mauritius,43811.5948
Mexico,55488.275870000005
Moldova,1.64534
Mongolia,29.777780000000003
Morocco,115501.78074
Mozambique,191675.43774
Myanmar,19829.74993
Namibia,30036.37915
Nauru,0.61716
Nepal,70.94
Netherlands,719158.6986799999
New Caledonia,51079.763320000005
New Zealand,11063.89185
Nicaragua,95.4702
Niger,34892.47814
Nigeria,41868.41627
Norway,222102.38715
Oman,640458.93782
"Other Asia, nes",138175.70127999998
Pakistan,382147.12020999996
Panama,82.60796
Papua New Guinea,74.7812
Paraguay,19210.931839999997
Peru,198.47696000000002
Philippines,36210.55492
Poland,163656.24705
Portugal,63178.13444
Qatar,210049.9901
Romania,57633.673160000006
Russian Federation,244028.80615
Rwanda,785249.46462
Saint Helena,1.044
San Marino,32.23205
Saudi Arabia,1889832.19996
Senegal,26307.27367
"Serbia, FR(Serbia/Montenegro)",1040.9061299999998
Seychelles,209.4329
Sierra Leone,532.5714700000001
Singapore,316183.46161000006
Slovak Republic,7048.87853
Slovenia,10126.096959999999
Somalia,10108.56909003512
South Africa,4902650.8974600015
South Sudan,8456.51821
Spain,321140.14770000003
Sri Lanka,19487.60867
St. Kitts and Nevis,1.0054
Sudan,10969.60576
Suriname,6.1224799999999995
Swaziland,257010.79161
Sweden,246817.13893
Switzerland,1753090.01802
Syrian Arab Republic,701.22731
Thailand,578226.6272
Togo,104.69044000000001
Tokelau,9.77985
Trinidad and Tobago,34.35
Tunisia,4331.02164
Turkey,776573.41725
Turkmenistan,442.706
Uganda,770035.2959499999
Ukraine,39595.67694
United Arab Emirates,5159652.701141017
United Kingdom,736976.4362899999
United States,1778305.77396
Unspecified,4.0082
Uruguay,571.273
Uzbekistan,1072.0802
Venezuela,338.549
Vietnam,1375332.82351
Yemen,1324.8390900000002
Zambia,479482.26192520524
Zimbabwe,84179.87728
