Partner,Value
Afghanistan,7464.29545
Albania,626.4954
Algeria,3825.19025
Angola,3966.45649
Antigua and Barbuda,2.71
Argentina,207631.21440000003
Armenia,290.40963
Australia,45072.09973
Austria,47994.75804
Azerbaijan,0.51761
"Bahamas, The",3.2208
Bahrain,10519.56047
Bangladesh,40381.03786
Belarus,40888.437789999996
Belgium,471265.42227
Belize,0.36461000000000005
Benin,895.79305
Bolivia,1407.25585
Bosnia and Herzegovina,1256.8676500000001
Botswana,805.7309100000001
Brazil,64071.28612
British Indian Ocean Ter.,0.77784
Brunei,0.05
Bulgaria,6554.2823499999995
Burkina Faso,239451.02146000002
Burundi,249687.12201000002
Cambodia,15379.49398
Cameroon,630.6066699999999
Canada,164220.35659
Cape Verde,947.37244
Central African Republic,8190.15447
Chad,0.33
Chile,22391.678079999998
China,6009600.205209999
Colombia,5850.54073
Comoros,0.5226
"Congo, Dem. Rep.",1092681.2363399998
"Congo, Rep.",2273.84453
Costa Rica,1228.89444
Cote d'Ivoire,7211.7471000000005
Croatia,12051.71346
Cuba,257.49104
Curaçao,7.93796
Cyprus,9355.41204
Czech Republic,27411.744049999998
Denmark,162883.50631
Djibouti,657.20362
Dominica,26.91256
Dominican Republic,1389.71677
Ecuador,1379.29001
"Egypt, Arab Rep.",519706.4099
El Salvador,44.95101
Equatorial Guinea,120.21571
Eritrea,247.27928
Estonia,5448.2083600000005
Ethiopia(excludes Eritrea),65084.30447
Fiji,40.239
Finland,48596.297099999996
France,202292.3652
Gabon,813.89918
"Gambia, The",201685.05182
Georgia,1917.4587900000001
Germany,860986.1028
Ghana,2239.43871
Gibraltar,520.893
Greece,36821.49428
Guatemala,7614.7828
Guinea,34430.84847
Haiti,0.49813
Holy See,0.14715
Honduras,1.876
"Hong Kong, China",214913.14444
Hungary,37262.0545
Iceland,27.42655
India,4255177.352949998
Indonesia,835758.07979
"Iran, Islamic Rep.",32115.88477
Iraq,27.000510000000002
Ireland,152000.68858999998
Israel,115415.43472
Italy,815761.8623800001
Jamaica,574.93475
Japan,1504649.75816
Jordan,20202.491430000002
Kazakhstan,11.097000000000001
Kenya,4686947.834660001
"Korea, Dem. Rep.",10285.154470000001
"Korea, Rep.",215850.69194
Kuwait,5938.25813
Lao PDR,127.41295
Latvia,34564.22402
Lebanon,36177.41841
Lesotho,447.41904
Liberia,3639.9304
Libya,673.0842399999999
Lithuania,19438.042699999998
Luxembourg,14924.260349999999
Madagascar,3782.6237
Malawi,4541.14329
Malaysia,510608.38295999996
Maldives,426.3601
Mali,26428.11041
Malta,4550.94975
Marshall Islands,1223.06424
Mauritania,1072.5530600000002
Mauritius,69682.28082
Mexico,42623.224369999996
Morocco,92427.02829000002
Mozambique,37065.76256000001
Myanmar,46743.82974
Namibia,97586.51488999999
Nauru,78.95
Nepal,77.3628
Netherlands,705154.72952
New Zealand,2365.44377
Nicaragua,603.67836
Niger,413.34945
Nigeria,9731.87446
Norway,16946.66472
Oman,144732.69444
"Other Asia, nes",112824.66765999999
Pakistan,248800.78469
Panama,21.39283
Papua New Guinea,4.10184
Peru,788.61295
Philippines,17187.74567
Pitcairn,0.2
Poland,114383.89128
Portugal,106079.31878999999
Qatar,75305.94771
Romania,39535.75565
Russian Federation,373926.61687
Rwanda,235445.36436
Saudi Arabia,1827478.46423
Senegal,4922.12955
"Serbia, FR(Serbia/Montenegro)",1321.1609400000002
Seychelles,392.08182999999997
Sierra Leone,4949.07125
Singapore,180097.13006
Slovak Republic,6183.92923
Slovenia,24373.90424
Solomon Islands,246.28969999999998
Somalia,6398.607309999999
South Africa,1548548.46982
South Sudan,1489688.44569
Spain,217919.70849
Sri Lanka,16312.90716
St. Vincent and the Grenadines,25.99
Sudan,249823.90047
Suriname,74439.17702
Swaziland,127270.06714
Sweden,120151.48401999999
Switzerland,224297.56113
Syrian Arab Republic,654.23659
Tanzania,1804444.0860799998
Thailand,329458.7059
Togo,2019.7329699999998
Tonga,0.75
Trinidad and Tobago,1.80868
Tunisia,1024.59892
Turkey,617974.27373
Turks and Caicos Isl.,185.78191999999999
Ukraine,165645.0881
United Arab Emirates,7041602.79153
United Kingdom,375669.8273200001
United States,831814.92183
United States Minor Outlying I,0.2968
Uruguay,2467.6459
Uzbekistan,5.698
Venezuela,928305.65301
Vietnam,166399.08117000002
Yemen,297.91164000000003
Zambia,50233.31564
Zimbabwe,3557.98678
