Partner,Value
Afghanistan,15555.142
Albania,103531.51034000001
Algeria,2392128.55981
American Samoa,4.7537
Andorra,65.2333
Angola,82627.81023
Anguila,263.43102999999996
Antarctica,2.32924
Antigua and Barbuda,394.32895
Argentina,260937.74068
Armenia,613784.0334399999
Aruba,12.54636
Australia,589561.05648
Austria,5430137.5921
Azerbaijan,3223695.4810300004
"Bahamas, The",69085.52427000001
Bahrain,51106.30348
Bangladesh,2243386.94599
Barbados,2349.20974
Belarus,22541763.93145
Belgium,5331552.36063
Belize,10630.36188
Benin,132089.81113000002
Bermuda,92.98884000000001
Bhutan,78.68207
Bolivia,5184.63912
Bosnia and Herzegovina,154125.75154
Botswana,14111.90023
Brazil,1269167.2583
British Indian Ocean Ter.,147.24952
British Virgin Islands,59421.05992
Brunei,168.60217999999998
Bulgaria,3987156.94878
Burkina Faso,68272.10068
Burundi,2660.02272
Cambodia,128622.10264
Cameroon,132430.87316000002
Canada,1221975.13407
Cape Verde,969.9439199999999
Cayman Islands,27.87012
Central African Republic,3204.4666
Chad,5787.66945
Chile,214658.21525
China,57942877.08170999
Cocos (Keeling) Islands,0.30149
Colombia,456320.94490999996
Comoros,3202.65415
"Congo, Dem. Rep.",84118.56069
"Congo, Rep.",33730.18744
Cook Islands,125.43137
Costa Rica,427614.29542
Cote d'Ivoire,485887.89495
Croatia,411362.12061
Cuba,28743.82432
Curaçao,26.70175
Cyprus,272227.06996999995
Czech Republic,9366333.011419998
Denmark,2372575.7870500004
Djibouti,154338.98525
Dominica,1813.58886
Dominican Republic,32856.75143
East Timor,21.18137
Ecuador,367379.73113
"Egypt, Arab Rep.",9488823.88735
El Salvador,7215.86168
Equatorial Guinea,17322.68347
Eritrea,5986.9858699999995
Estonia,1273572.00186
Ethiopia(excludes Eritrea),701725.0136899999
Faeroe Islands,56207.87144
Falkland Island,3236.8098
Fiji,940.51331
Finland,1399401.5684699998
France,10280305.52667
French Polynesia,0.88784
Gabon,39716.1523
"Gambia, The",110449.84218
Georgia,2415490.002
Germany,38216128.7342
Ghana,1113354.14631
Gibraltar,970.94701
Greece,2431032.10629
Greenland,38067.94977
Grenada,27.93682
Guam,0.0146
Guatemala,170718.23604000002
Guinea,529753.59849
Guinea-Bissau,351.94628
Guyana,365382.96349
Haiti,19198.6713
Honduras,26502.42735
"Hong Kong, China",689133.36058
Hungary,12829568.454350002
Iceland,383434.97167
India,11810563.91767
Indonesia,4169325.63313
"Iran, Islamic Rep.",1076463.82069
Iraq,2359535.7753600003
Ireland,1398371.4133600001
Israel,3391768.94672
Italy,19240649.635670003
Jamaica,1159.22288
Japan,5703594.282629999
Jordan,738293.38363
Kazakhstan,3486672.3032299997
Kenya,315104.87828999996
Kiribati,2.6273999999999997
"Korea, Dem. Rep.",931.69957
"Korea, Rep.",3679554.37067
