Partner,Value
Afghanistan,216.48172
Albania,2401.24239
Algeria,955544.89133
American Samoa,12.23025
Andorra,0.7223999999999999
Angola,1724286.0219999999
Anguila,1.9650999999999998
Antigua and Barbuda,2498.641
Argentina,5889145.9889400005
Armenia,278.2808
Aruba,4418.228
Australia,56126.85214
Austria,88204.17951999999
Azerbaijan,228.387
Bahrain,5973.22028
Bangladesh,205738.22174
Barbados,10521.27692
Belarus,25198.324490000003
Belgium,281587.41118000005
Belize,1057.67705
Benin,3014.792
Bhutan,0.2136
Bolivia,361881.27117
Bosnia and Herzegovina,3340.11373
Brazil,11917750.89347
British Virgin Islands,45.06999999999999
Brunei,519.404
Bulgaria,45286.140719999996
Burkina Faso,729.756
Burundi,2.45016
Cambodia,30868.30698
Cameroon,23794.36261
Canada,341213.19208999997
Cape Verde,585.448
Cayman Islands,24.117430000000002
Central African Republic,0.23304999999999998
Chad,1.6423999999999999
Chile,751299.5325199999
China,15394947.328899998
Colombia,423621.05382000003
Comoros,1.8962
"Congo, Rep.",16009.880280000001
Cook Islands,0.2835
Costa Rica,108751.01489
Cote d'Ivoire,12889.72524
Croatia,3215.20442
Cuba,267539.60828
Curaçao,5583.196
Cyprus,4033.52671
Czech Republic,58478.5778
Denmark,213761.55718
Djibouti,0.50125
Dominica,358.56336999999996
Dominican Republic,67777.68825
Ecuador,164034.20257
"Egypt, Arab Rep.",279330.47026000003
El Salvador,3768.35937
Equatorial Guinea,2421.3199999999997
Eritrea,0.33915
Estonia,9160.79286
Ethiopia(excludes Eritrea),129.85648
Faeroe Islands,5.36
Fiji,11.80184
Finland,166254.71234000003
France,773442.32717
Free Zones,5393903.79807
French Polynesia,28830.988
Gabon,32390.81924
"Gambia, The",289.12515
Georgia,5645.47563
Germany,1503125.51061
Ghana,9382.877919999999
Gibraltar,11.6
Greece,15918.29782
Grenada,0.12355
Guatemala,50753.96042
Guinea,534.65565
Guyana,18987.3577
Haiti,4598.673
Honduras,6434.31747
"Hong Kong, China",282482.83541
Hungary,65623.50925
Iceland,397.8354
India,839279.91162
Indonesia,205062.50968
"Iran, Islamic Rep.",16557.08613
Iraq,110253.42664
Ireland,70391.87279
Israel,205995.99023
Italy,875034.2824499999
Jamaica,2278.4449600000003
Japan,416909.18244
Jordan,5771.4934
Kazakhstan,14676.665269999998
Kenya,4200.53196
"Korea, Dem. Rep.",326.19135
"Korea, Rep.",542339.61445
Kuwait,1678.5634
Lao PDR,92.05055
Latvia,5354.17067
Lebanon,17817.17444
Lesotho,4.54835
Liberia,3633.535
Libya,2199.853
Lithuania,10651.35245
Luxembourg,4565.80845
Macao,802.45822
"Macedonia, FYR",33865.07654
Madagascar,1075.63581
Malawi,4301.56
Malaysia,79807.15792000001
Maldives,41.256
Mali,2826.13317
Malta,2759.23646
Marshall Islands,31.834
Mauritania,4871.9541500000005
Mauritius,7946.92548
Mexico,1619465.7675
"Micronesia, Fed. Sts.",0.11005
Moldova,1866.63357
Mongolia,774.38495
Montenegro,864.644
Montserrat,8.227
Morocco,85194.12006
Mozambique,938.284
Myanmar,13116.046040000001
Namibia,966.25476
Nepal,401.54373
Netherlands,1034712.54839
New Caledonia,1.9624
New Zealand,60177.42147
Nicaragua,8494.652409999999
Niger,576.0087
Nigeria,1066720.92414
Niue,0.32336
Norway,59595.877830000005
Oman,57859.4308
"Other Asia, nes",181802.7563
Pakistan,41688.27516999999
Panama,119172.94101
Papua New Guinea,819.638
Paraguay,980845.02217
Peru,641223.6673300001
Philippines,134081.65158
Poland,152851.50921
Portugal,531018.89253
Qatar,49297.20284
Romania,52795.682310000004
Russian Federation,849510.48389
Rwanda,5.27984
Saint Helena,20.8
San Marino,18.6407
Sao Tome and Principe,1.52055
Saudi Arabia,59956.51799000001
Senegal,81631.51946000001
"Serbia, FR(Serbia/Montenegro)",10578.25488
Seychelles,337.7148
Sierra Leone,45709.24605
Singapore,107950.93872
Slovak Republic,9233.35792
Slovenia,6568.18087
Somalia,2.2477
South Africa,161401.95827
Spain,987504.56404
Sri Lanka,15652.9068
St. Kitts and Nevis,106.02655
St. Lucia,25.545
Sudan,681.5691
Suriname,1821.64915
Swaziland,4.22522
Sweden,126838.24762
Switzerland,223784.09262
Syrian Arab Republic,1346.4388999999999
Tajikistan,228.0896
Tanzania,511.90819
Thailand,299850.88932
Togo,3831.432
Tokelau,0.65635
Trinidad and Tobago,38654.74632
Tunisia,104097.25972
Turkey,800493.31565
Tuvalu,23.0
Uganda,113.89428
Ukraine,5336.33032
United Arab Emirates,81354.79842
United Kingdom,459702.10935000004
United States,5214718.640140001
Unspecified,110205.89309
Uzbekistan,18.095
Vanuatu,843.03864
Venezuela,132973.44623
Vietnam,364365.14454
Yemen,351.464
Zambia,3024.74912
Zimbabwe,961.6899999999999
