Partner,Value
Afghanistan,3496809.684
Albania,641333.127
Algeria,14909283.604000002
Andorra,76090.86
Angola,6334743.197000001
Anguila,360113.61699999997
Antigua and Barbuda,1889467.4209999999
Argentina,57542009.122999996
Armenia,472331.297
Aruba,2203457.361
Australia,162053124.291
Austria,87561027.871
Azerbaijan,1707744.1400000001
"Bahamas, The",14815249.949
Bahrain,9993858.05
Bangladesh,43892922.799
Barbados,2516668.731
Belarus,2430660.931
Belgium,253644944.953
Belize,1839570.9749999999
Benin,1317576.217
Bermuda,2363876.1089999997
Bhutan,14659.712
Bolivia,4246907.175
Bosnia and Herzegovina,737830.04
Botswana,1508780.438
Brazil,321678683.4
British Indian Ocean Ter.,112040.638
British Virgin Islands,2378421.9
Brunei,1355840.8
Bulgaria,6210014.089
Burkina Faso,329072.776
Burundi,51064.941000000006
Cambodia,27744699.556999993
Cameroon,2295087.6040000003
Canada,2690349199.9989996
Cape Verde,47928.364
Cayman Islands,4473786.404
Central African Republic,163224.315
Chad,940000.496
Chile,112166087.524
China,2665576136.7879996
Christmas Island,9129.7
Cocos (Keeling) Islands,12778.735
Colombia,122434860.10900003
Comoros,16854.629999999997
"Congo, Dem. Rep.",674915.061
"Congo, Rep.",2790499.918
Cook Islands,45391.732
Costa Rica,48618686.785
Cote d'Ivoire,5094122.584000001
Croatia,5519062.745999999
Cuba,1172273.0990000002
Curaçao,1903124.396
Cyprus,1148437.286
Czech Republic,38140129.765
Denmark,67006468.85699999
Djibouti,742391.0460000001
Dominica,1384690.071
Dominican Republic,63697276.759
East Timor,43757.315
Ecuador,52237883.004999995
"Egypt, Arab Rep.",37718378.041
El Salvador,26166903.118999995
Equatorial Guinea,2499512.509
Eritrea,59138.097
Estonia,6494227.751
Ethiopia(excludes Eritrea),6589535.174
Faeroe Islands,734268.567
Falkland Island,78733.666
Fiji,1600097.517
Finland,37483826.185
Fr. So. Ant. Tr,27884.711
France,421980773.522
French Polynesia,2823086.0429999996
Gabon,1096958.999
"Gambia, The",198335.757
Georgia,4312047.058
Germany,865319238.1
Ghana,7719239.923
Gibraltar,5004956.634
Greece,12634911.528
Greenland,185115.557
Grenada,536228.669
Guatemala,46755663.86499999
Guinea,592428.8369999999
Guinea-Bissau,13610.204000000002
Guyana,3410302.822
Haiti,10062793.972
Heard Island and McDonald Isla,1164.825
Holy See,7077.728999999999
Honduras,47572335.835
