Partner,Value
Afghanistan,1871036.23015
Algeria,1130.3
American Samoa,556.194
Andorra,205.85999999999999
Argentina,60575.68896
Armenia,24793.34795
Australia,13906.513
Austria,564231.4595600001
Azerbaijan,307521.70782
Bahrain,6.194
Bangladesh,165184.38945999998
Belarus,1531879.4672
Belgium,415305.59609999997
Benin,144.164
Bolivia,0.22
Bosnia and Herzegovina,530.64795
Brazil,475659.90522
British Indian Ocean Ter.,73.35
British Virgin Islands,193.435
Bulgaria,130032.97455000001
Cambodia,252.27391
Canada,43816.01491
Chile,2015.70196
China,31627820.301210042
Cocos (Keeling) Islands,3.9650000000000003
Colombia,1504.042
"Congo, Dem. Rep.",11.39
Costa Rica,426.376
Cote d'Ivoire,336.412
Croatia,1857.548
Cuba,47166.36792
Cyprus,4867.045999999999
Czech Republic,729020.6337799999
Denmark,296268.9146
Dominican Republic,128.316
Ecuador,125909.38392
"Egypt, Arab Rep.",145920.46981
El Salvador,198.112
Estonia,241455.52469000002
Ethiopia(excludes Eritrea),5.8
Finland,203692.34144
France,658210.48479
Georgia,521396.58219
Germany,4367208.132320001
Ghana,1098.964
Greece,35384.38291
Guatemala,1981.172
Guinea,0.72
Honduras,19.658
"Hong Kong, China",282969.58599
Hungary,340892.70606999996
Iceland,371.703
India,1610075.3317500001
Indonesia,198115.71402
"Iran, Islamic Rep.",1968512.61116
Iraq,91878.16059
Ireland,146663.83565999998
Israel,138468.25366
Italy,1802508.8094700002
Jamaica,15.728
Japan,1893093.12839
Jordan,5599.3039499999995
Kazakhstan,12830467.71741
Kenya,25251.74696
"Korea, Dem. Rep.",18.02
"Korea, Rep.",12043129.133009998
Kuwait,736.577
Kyrgyz Republic,3222071.909320001
Latvia,1631382.09899
Lebanon,540.236
Lithuania,2220812.65843
Macao,35654.07285
"Macedonia, FYR",1165.79
Madagascar,48.951
Malawi,574.812
Malaysia,468342.51788999996
Maldives,552.8399999999999
Mali,5.646
Malta,52.482
Mexico,405887.96763
Moldova,51348.33485
Mongolia,8246.26596
Morocco,25423.82381
Mozambique,7361.90396
Myanmar,1729.23396
Nauru,0.34500000000000003
Nepal,1150.552
Netherlands,616980.22314
New Zealand,6243.1539999999995
Nigeria,9.576
Norway,14398.130000000001
Occ.Pal.Terr,3.652
Oman,748.49293
"Other Asia, nes",85497.59639
Pakistan,488261.64862
Peru,550.2360000000001
Philippines,12971.69986
Poland,769933.56868
Portugal,27901.57559
Qatar,11862.151960000001
Romania,147994.63504
Russian Federation,26116714.03820999
San Marino,241.51
Saudi Arabia,114256.49486
Senegal,2.79
"Serbia, FR(Serbia/Montenegro)",26750.287
Sierra Leone,2.2849999999999997
Singapore,597321.33634
Slovak Republic,49417.67381
Slovenia,222075.18555
Somalia,0.26
South Africa,58891.22900000001
Spain,371719.41771999997
Sri Lanka,9441.92292
Sudan,43.656
Sweden,97902.72243000001
Switzerland,726874.18389
Syrian Arab Republic,11056.50896
Tajikistan,1406683.26812
Tanzania,1039.337
Thailand,108888.53603
Trinidad and Tobago,5.568
Tunisia,3989.54786
Turkey,10921069.706650011
Turkmenistan,1892480.24811
Uganda,989.628
Ukraine,1680172.4646
United Arab Emirates,527863.4621
United Kingdom,310085.21965
United States,2465578.60833
Unspecified,18636184.0375
Uruguay,17.29
Venezuela,7628.128
Vietnam,356720.46391999995
Yemen,55.225
Zambia,311.48900000000003
Zimbabwe,6486.15992
