Partner,Value
Albania,10.61365
American Samoa,0.3637
Anguila,432.39692
Antigua and Barbuda,18694.38029
Argentina,994.5274800000001
Aruba,30.78218
Australia,7479.4179699999995
Austria,1044.6474899999998
Azerbaijan,2.08464
"Bahamas, The",22.22195
Bahrain,0.1296
Bangladesh,50.35973
Barbados,61888.439109999985
Belgium,2482.52372
Belize,1918.6212999999998
Bermuda,109.15521000000001
Bolivia,1.67719
Bosnia and Herzegovina,0.9179400000000001
Brazil,14031.08736
British Virgin Islands,3943.08288
Brunei,1.7142
Bulgaria,5.98677
Cambodia,7.94277
Cameroon,6.43066
Canada,35608.36252
Cape Verde,3.7604300000000004
Central African Republic,9.50728
Chile,3003.13537
China,94686.37458
Colombia,8277.0713
"Congo, Dem. Rep.",11.42531
Costa Rica,2261.57409
Croatia,1.17512
Cuba,58.3484
Curaçao,1958.5240199999998
Cyprus,735.26693
Czech Republic,126.62102999999999
Denmark,6610.55927
Dominica,23955.35941
Dominican Republic,11860.54487
East Timor,0.5914
Ecuador,755.33147
"Egypt, Arab Rep.",271.0334
El Salvador,77.2483
Estonia,7.56471
Fiji,2.22112
Finland,305.71587999999997
Fr. So. Ant. Tr,1.72265
France,13841.529999999999
Gabon,27.08381
"Gambia, The",0.83384
Georgia,137.59949
Germany,22446.9843
Ghana,51.91708
Greece,84.69848
Grenada,17882.587079999998
Guam,0.848
Guatemala,4731.99154
Guinea,11.76696
Guyana,18035.22409
Haiti,85.66029999999999
Honduras,388.67625
"Hong Kong, China",2797.85447
Hungary,399.11325
Iceland,28476.49172
India,7234.21473
Indonesia,5915.20904
"Iran, Islamic Rep.",322.45297
Ireland,8466.2406
Israel,245.57961
Italy,27248.94846
Jamaica,15229.92859
Japan,39915.3673
Jordan,14.95789
Kenya,3.2478000000000002
"Korea, Dem. Rep.",308.26341
"Korea, Rep.",5784.39955
Lao PDR,2.1376500000000003
Latvia,26.04624
Lebanon,135.65056
Lithuania,105.80857999999999
Luxembourg,3.1796
"Macedonia, FYR",9.12185
Malaysia,3087.90778
Mali,0.19419999999999998
Malta,0.6317
Mauritania,19.28987
Mauritius,9.2666
Mexico,15147.28872
Moldova,38.90795
Montserrat,819.68553
Morocco,5.4905100000000004
Myanmar,12.41433
Namibia,308.19871
Netherlands,21515.00506
New Zealand,9428.816910000001
Nicaragua,10.94283
Niger,40.69287
Nigeria,31.84666
Norway,1256.24297
"Other Asia, nes",970.5411799999999
Pakistan,771.68481
Panama,8024.37351
Peru,3842.61333
Philippines,205.16261
Pitcairn,1.5802
Poland,641.34455
Portugal,301.55893
Romania,50.34026
Saint Maarten (Dutch part),676.58549
San Marino,9.08001
Sao Tome and Principe,0.14812
Saudi Arabia,17.80509
Senegal,4.27975
Seychelles,5.26427
Sierra Leone,95.70120999999999
Singapore,757.61252
Slovak Republic,46.47771
Slovenia,24.71028
South Africa,278.8325
South Georgia and the South Sa,0.2222
Spain,1990.85421
Sri Lanka,45.45296
St. Kitts and Nevis,15978.96345
St. Lucia,28404.01777
Sudan,1.23455
Suriname,1738.03732
Swaziland,94.09058
Sweden,1934.84618
Switzerland,1721.33475
Syrian Arab Republic,95.80169000000001
Thailand,4765.3620200000005
Tokelau,241.52488
Tonga,6.60628
Trinidad and Tobago,224929.02531
Tunisia,55.5505
Turkey,17390.91831
Turks and Caicos Isl.,21.94315
Uganda,6.00279
Ukraine,442.99482
United Arab Emirates,708.9117
United Kingdom,100123.38055
United States,606159.72427
United States Minor Outlying I,3.36159
Unspecified,3346.8708899999997
Uruguay,56.711529999999996
Venezuela,40.66701
Vietnam,2171.79179
