Partner,Value
Algeria,787057.71921
Angola,375437.52229
Argentina,15700684.76465
Australia,34112618.00906
Austria,17841030.99736
Azerbaijan,14540.559949999999
Bangladesh,3482989.1016200013
Belarus,478513.64546
Belgium,13295297.6064
Brazil,21785340.612999998
Brunei,1054839.02378
Bulgaria,503835.37783
Cambodia,22260379.50016
Cameroon,1040779.72317
Canada,21864518.19373
Chile,5667982.96992
China,549111590.0097101
Colombia,2427125.47729
"Congo, Rep.",1743196.21719
Costa Rica,640205.13948
Cote d'Ivoire,3951133.60099
Croatia,517054.64154
Cyprus,393407.87564
Czech Republic,1484979.14988
Denmark,2581006.16379
Dominican Republic,440105.25117
Ecuador,502659.23968000006
"Egypt, Arab Rep.",2192196.17008
Estonia,258935.3965
Finland,1676786.7114799998
France,24670961.55055
Germany,47493297.20693
Ghana,2289810.05452
Greece,1748473.6994699999
"Hong Kong, China",40435232.37902
Hungary,3461102.0839
Iceland,54148.67047
India,51223982.22031
Indonesia,40870276.035339996
Iraq,1545089.1371799998
Ireland,13024637.471450001
Israel,5485485.82862
Italy,24827233.881839998
Japan,184181596.35724998
Kazakhstan,1296274.58747
Kenya,222762.53115999998
"Korea, Rep.",315527925.6301899
Kuwait,14937858.3169
Lao PDR,4919367.2934799995
Latvia,1061339.27385
Lithuania,594698.26592
Luxembourg,467328.25203
Malaysia,49425528.63068
Malta,179129.07223000002
Mexico,16095890.8171
Morocco,1022380.42795
Mozambique,680061.19612
Myanmar,4210255.62851
Netherlands,34967638.453719996
New Zealand,4761950.370130001
Nigeria,2132101.62151
Norway,1902820.9964200002
"Other Asia, nes",93188220.7552
Pakistan,2292367.23461
Panama,1549441.93085
Paraguay,360033.38439
Peru,1902666.60742
Philippines,23709127.80777
Poland,8456939.960280001
Portugal,2364357.65081
Qatar,1375676.48975
Romania,1225231.01394
Russian Federation,20231282.766560003
Saudi Arabia,7417153.360669999
Senegal,381118.8415
Singapore,32527295.398479998
Slovak Republic,4471981.9238100005
Slovenia,1962735.53361
South Africa,5132493.31843
Spain,15184457.75289
Sri Lanka,1516409.16616
Sweden,7353773.33409
Switzerland,9811780.69341
Tanzania,1180960.60823
Thailand,77561544.88676
Togo,772031.48041
Tunisia,156239.77583
Turkey,6967607.45315
Uganda,78441.52969
Ukraine,1680378.10414
United Arab Emirates,24985595.65986
United Kingdom,30745498.46706
United States,350905017.11771995
Unspecified,15328751.06474
Uruguay,449806.20369999995
Uzbekistan,277522.71531
Venezuela,108005.97052999999
