Partner,Value
American Samoa,65218.06578
Armenia,1.75164
Australia,172530.55591
Austria,331.71421
Bahrain,0.6723999999999999
Bangladesh,262.81288
Belgium,22.802919999999997
Brazil,2701.51829
Cambodia,165.86248
Canada,889.79369
Chile,589.41332
China,209133.96769
Cook Islands,1608.0971
Costa Rica,35.5617
Cyprus,296.69144
Denmark,55.4754
East Timor,0.8826499999999999
Estonia,0.4072
Fiji,115671.78735
France,543.30962
French Polynesia,960.1906
Georgia,396.49935
Germany,2083.35295
Ghana,0.79548
Greece,777.13755
Guam,69.40571
"Hong Kong, China",87598.83753
India,20795.586330000002
Indonesia,16929.20888
Ireland,129.63965
Israel,463.3516
Italy,688.04281
Jamaica,0.3106
Japan,82428.85848000001
Kiribati,2.76498
"Korea, Dem. Rep.",8530.93047
"Korea, Rep.",36279.30459
Malaysia,15059.240960000001
Marshall Islands,58.91291
"Micronesia, Fed. Sts.",23.394
Namibia,6.3584499999999995
Nauru,0.15148
Netherlands,533.38709
New Caledonia,1109.28626
New Zealand,477359.20262999996
Niue,144.82435
Norway,131.4959
"Other Asia, nes",20102.36749
Pakistan,4.0191
Papua New Guinea,1060.89329
Philippines,3176.9891900000002
Poland,6.8883
Qatar,49.2617
Russian Federation,192.11236
Rwanda,0.19885
Singapore,268436.12288000004
Slovenia,1.89405
Solomon Islands,46.259330000000006
South Africa,48.555209999999995
Spain,2017.31828
Sri Lanka,325.97584
Sudan,0.51515
Swaziland,16.21535
Sweden,75.81427000000001
Switzerland,7665.8194
Thailand,51050.17452
Tokelau,17528.67585
Tonga,1374.84791
Trinidad and Tobago,3.32904
Turkey,124.47552
Turks and Caicos Isl.,214.81204
Tuvalu,6.84856
Uganda,17.71737
United Arab Emirates,324.19991
United Kingdom,4171.50797
United States,169734.56954
United States Minor Outlying I,6.00008
Vanuatu,3180.1744599999997
Vietnam,7948.822969999999
Zambia,0.37875
