Partner,Value
Afghanistan,2203.0666684596
Algeria,21129.234952662
American Samoa,9.54952092
Angola,37.853740368
Argentina,1017509.6652935125
Aruba,1250.1495535654801
Australia,571928.906005507
Austria,20179.73721848436
Bahrain,19466.3616596928
Bangladesh,3214.0526265036
Belgium,59436.15470080888
Bhutan,140.147727984
Bosnia and Herzegovina,2200.6144235592
Brazil,882924.7736205587
Bulgaria,21336.046362953282
Cameroon,236.910200652
Canada,27221.4792787932
Central African Republic,5.4053892
Chad,147.529087236
Chile,628.005124242
China,2265695.2236583526
Colombia,1451.2845379248001
Costa Rica,10.93089816
Croatia,1171.315807704
Cyprus,1165.9371559398
Czech Republic,870.2508444335999
Denmark,54225.815596308
Ecuador,100.1582582832
"Egypt, Arab Rep.",663937.1670296021
Eritrea,5278.587862266
Estonia,168.852346632
Ethiopia(excludes Eritrea),20681.65579400784
Finland,13609.148933574721
France,155341.00499386463
Georgia,24.98991507
Germany,75838.71782610146
Ghana,167.624122086
Greece,2047.931297721
Greenland,21.14107776
Guatemala,1269.6658632
Haiti,35.97086313
Hungary,5658.8744883726
Iceland,15.393347244
India,752316.0959822137
Indonesia,131761.17698094898
"Iran, Islamic Rep.",11020.6443373866
Iraq,1051.220071656
Ireland,11306.086186210201
Italy,51807.350169740836
Japan,471486.7429047936
Jordan,105485.14066780091
Kenya,61741.645728822
"Korea, Dem. Rep.",1347.0693849972
"Korea, Rep.",163869.26181712782
Kuwait,7994.7555111306
Latvia,2.62761975
Lebanon,7363.882298168281
Libya,109.02369716999999
Lithuania,983.0857413888
Macao,100.432131336
"Macedonia, FYR",89.9873178048
Madagascar,232.253557956
Malaysia,210482.830743732
Maldives,23.51344302
Malta,3434.2531675416
Mexico,2436.8193222192
Moldova,47.225083644
Morocco,2174.9757616854
Nepal,49.00886208
Netherlands,53338.3043173866
New Caledonia,33.297197472
New Zealand,50211.1275446664
Niger,89.801532576
Nigeria,3452.5510105823996
Norway,526.092516864
Occ.Pal.Terr,1525.437368667
Oman,1047368.3990941294
"Other Asia, nes",12613.3342571826
Pakistan,42689.8551986136
Panama,35.95584816
Philippines,6696.575319002401
Poland,26495.63180739864
Portugal,559.86239614104
Qatar,717.992842446
Romania,1360.7338584456
Russian Federation,588494.5571199598
Saint Helena,160.31483469
Saudi Arabia,1310243.577379368
Senegal,26.20612764
"Serbia, FR(Serbia/Montenegro)",1008.07729809552
Sierra Leone,19.519461
Singapore,3477.9887333964
Slovak Republic,731.4655874148
Slovenia,1021.2014339424001
Somalia,65978.75204495821
South Africa,31448.27629482912
Spain,39598.35893422884
Sri Lanka,468.8962919424
St. Kitts and Nevis,4.596582816
Sudan,36631.9138008168
Suriname,2.8027944
Swaziland,1816.000109073
Sweden,118721.7621886485
Switzerland,7379.4343825962005
Syrian Arab Republic,38393.5984367328
Tajikistan,103.36305348
Tanzania,506.2323161448
Thailand,439361.1345844802
Tokelau,2.210203584
Tunisia,4196.5101415476
Turkey,1069530.66957855
Uganda,177.93740448
Ukraine,335065.7796266327
United Arab Emirates,4551713.821621093
United Kingdom,78651.59555024384
United States,599345.8954766032
Unspecified,1351629.2072601917
Uruguay,646.260324768
Uzbekistan,399.7986012
Vietnam,34426.14135100704
Zimbabwe,49.044898008000004
