Partner,Value
Afghanistan,21105.31722295368
Albania,24862.77670840566
Algeria,189965.21521327092
American Samoa,3006.8147530536003
Andorra,10376.98602505335
Angola,4371468.078599757
Anguila,18.28217492616
Antarctica,3515.8088842467
Antigua and Barbuda,24579.625913278916
Argentina,3065672.7046976406
Armenia,1720.8088846967698
Aruba,3091.57875281049
Australia,7782939.05060822
Austria,2863964.6158163776
Azerbaijan,3905.2256859526196
BLM,1332.20660588376
"Bahamas, The",42188.62254069717
Bahrain,1404090.6147039246
Bangladesh,1417943.183058304
Barbados,15079.94171972223
Belarus,34227.62744038347
Belgium,16945879.94247944
Belize,3508.19756113299
Benin,87444.39195262935
Bermuda,10441.43960278236
Bhutan,2706.34104231525
Bolivia,12239.87114237862
Bosnia and Herzegovina,24983.959629736528
Botswana,19151379.26933055
Bouvet Island,0.31098958665
Brazil,6512790.197767828
British Indian Ocean Ter.,89.70773099240999
British Virgin Islands,171803.86807839762
Brunei,7058.5040117121
Bulgaria,729738.3714380458
Bunkers,2130302.911972311
Burkina Faso,213575.40847434028
Burundi,24910.3053264969
Cambodia,181809.28727379072
Cameroon,253438.60517011295
Canada,2724772.759230503
Cape Verde,197812.62847588828
Cayman Islands,8573.61407513373
Central African Republic,5926.356142099409
Chad,3259.70103788121
Chile,667380.4613467576
China,114584811.93543243
Christmas Island,11.70330956586
Cocos (Keeling) Islands,358.95656514636
Colombia,191672.595297792
Comoros,16113.160377130891
"Congo, Dem. Rep.",4926934.128924822
"Congo, Rep.",225687.60569582853
Cook Islands,593.2389616823099
Costa Rica,101987.5145867693
Cote d'Ivoire,461448.29832345055
Croatia,105305.81104414351
Cuba,14975.077207260241
Curaçao,15650.872661526751
Cyprus,82632.22564008052
Czech Republic,5092309.742965727
Denmark,2082285.348857628
Djibouti,276574.46099336265
Dominica,3756.5802739576197
Dominican Republic,95626.11286337094
East Timor,6284.84438944554
Ecuador,71020.51575654469
"Egypt, Arab Rep.",724341.307326561
El Salvador,15587.92269596385
Equatorial Guinea,96190.03377471968
Eritrea,32566.741924929778
Estonia,241307.98172913335
Ethiopia(excludes Eritrea),311143.3904763646
Faeroe Islands,1.57459666353
Falkland Island,13017.095417920591
Fiji,33109.47230334261
Finland,2091342.3805054717
France,12480880.27127889
French Polynesia,2715.3144237142496
Gabon,190126.03100729006
"Gambia, The",29237.647175738883
Georgia,70230.02803457822
Germany,68154763.5109398
Ghana,4166743.705730347
Gibraltar,185562.69102608153
Greece,782825.5698705129
Greenland,64.74145930188
Grenada,1162.06070915121
Guam,76.45258684845
Guatemala,63836.12246829996
Guinea,286442.0323767207
Guinea-Bissau,5205.19502134287
Guyana,82363.29561349393
Haiti,5938.30506079377
Heard Island and McDonald Isla,2.64759721956
Holy See,1792.4044299542102
Honduras,27433.8346514727
"Hong Kong, China",6574159.100712846
Hungary,1736916.556643885
Iceland,22460.53387570872
India,36196150.65424224
Indonesia,5331480.786282897
"Iran, Islamic Rep.",51819.970246804674
Iraq,192694.2762761288
Ireland,2827277.6042682156
Israel,1775728.7738213465
Italy,13205845.013652803
Jamaica,23423.26880157684
Japan,29089273.73607195
Jordan,432879.14868994965
Kazakhstan,163504.3774521691
Kenya,3481346.5943037095
Kiribati,19.23534590175
"Korea, Dem. Rep.",10206.33278980269
"Korea, Rep.",10260054.351712571
Kuwait,411332.47497643664
Kyrgyz Republic,5090.6385651132605
Lao PDR,7727.99838108336
Latvia,383353.3089112877
Lebanon,53603.52838943568
Lesotho,6984188.877532695
Liberia,140685.63982058928
Libya,16225.17432917367
Lithuania,741175.4845031415
Luxembourg,209471.8211766018
Macao,5341.3737290892295
"Macedonia, FYR",54858.87545836
Madagascar,1322021.5400770588
Malawi,2093842.027559834
Malaysia,6484876.166690068
Maldives,46506.918156029664
Mali,382676.8834523101
Malta,37867.65573583167
Marshall Islands,107820.96931816336
Mauritania,101343.82578045127
Mauritius,3046428.89960239
Mexico,3741463.3602460786
"Micronesia, Fed. Sts.",210.38193009177
Moldova,12280.60683464658
Mongolia,5764.275149733089
Montenegro,2251.2518881176
Montserrat,3.6130832444100003
Morocco,583105.4133243179
Mozambique,19158306.38989329
Myanmar,72257.69280051396
Namibia,19078998.397602122
Nauru,93.90833894645999
Nepal,9865.9173615453
Netherlands,17365270.949060872
New Caledonia,61483.53861884479
New Zealand,948473.5968830038
Nicaragua,9611.77826260533
Niger,35437.34745935655
Nigeria,16625303.69985223
Niue,1387.70368351725
