Partner,Value
Afghanistan,605.4972421264
Albania,398.17046812304
Algeria,405.10408001248004
Andorra,443.0503498584
Angola,260534.27188937666
Anguila,5.59771486192
Antigua and Barbuda,0.52094093696
Argentina,106719.97073055619
Armenia,1.59287550848
Australia,258619.9994110042
Austria,23171.1629087168
Azerbaijan,0.99346984256
BLM,117.582211056
Bahrain,1403.7992740728
Bangladesh,28548.04918986768
Barbados,68.28852627968
Belarus,721.2195541152
Belgium,1607282.5295916302
Benin,2325.62034737792
Bhutan,13.627047377599999
Bolivia,136.0154749376
Bosnia and Herzegovina,17.436260783679998
Botswana,5913.0214796830405
Brazil,174028.91348147244
British Virgin Islands,12.364776424799999
Brunei,7.93279611408
Bulgaria,2232.2301197225597
Burkina Faso,266.64325858176
Burundi,9534.98688221088
Cambodia,4882.50575386528
Cameroon,4618.221682416161
Canada,198477.11437196517
Cape Verde,6.8682029699200005
Central African Republic,245792.19322610897
Chad,13.016504856800001
Chile,14321.851026237598
China,24468467.10734087
Cocos (Keeling) Islands,41.82120896288
Colombia,12261.00074952288
"Congo, Rep.",246657.9807249132
Cook Islands,6.4443282408
Costa Rica,134.61377148416
Cote d'Ivoire,16045.479577786879
Croatia,2190.9144976326397
Cuba,114.13489051088
Cyprus,1059.20071070624
Czech Republic,61467.02686953662
Denmark,85755.30972094258
Djibouti,165.6216423712
Dominica,1.3874794
Dominican Republic,1862.52103580016
East Timor,9.479187042080001
Ecuador,0.46003385328
"Egypt, Arab Rep.",63872.312182767586
El Salvador,0.0001729608
Equatorial Guinea,0.5017289368
Estonia,1427.1876937342402
Ethiopia(excludes Eritrea),4022.69678712304
Finland,2756105.889996213
France,1853333.8873387184
Gabon,2441.3592429695996
"Gambia, The",102.870757116
Georgia,4560.4860122131195
Germany,701967.6337650656
Ghana,5419.24743731856
Gibraltar,241.081046952
Greece,6594.67632301696
Guatemala,37114.1337229536
Guinea,82.73022084592
Guinea-Bissau,5.40440780304
Haiti,11.10279131248
Holy See,105.33818129664
Honduras,1455.08722964464
"Hong Kong, China",99858.58076726316
Hungary,15436.8982255128
Iceland,26210.10859345744
India,1926345.1778909566
Indonesia,157182.48860589915
"Iran, Islamic Rep.",1940.1102086672001
Ireland,166958.1947593289
Israel,21187.19903722224
Italy,392552.6694171519
Jamaica,77.30914993872
Japan,700055.9899321869
Jordan,466.09816358176
Kazakhstan,52325.5670903376
Kenya,236767.37755742733
"Korea, Dem. Rep.",1331.06856461584
"Korea, Rep.",313172.19240955246
Kuwait,1441.62508430752
Lao PDR,472.57995938
Latvia,309.4224925608
Lebanon,55663.24093812449
Lesotho,564.42900920656
Liberia,272.79847101120004
Lithuania,20908.481868268962
Luxembourg,344848.2708479772
Macao,1.823082692
"Macedonia, FYR",5.53769018176
Madagascar,380.33939548655997
Malawi,1312.41453235536
Malaysia,635597.8436019637
Mali,2991.78903321104
Malta,13184.14761408976
Mauritania,31072.22367999872
Mauritius,9434.693973519039
Mexico,83842.41081774244
Mongolia,131.77616203424
Montenegro,6.196219917920001
Morocco,61882.87611982896
Mozambique,2055626.0488508996
Myanmar,6377.70400402592
Namibia,189051.517737199
Netherlands,396498.83909264865
New Zealand,16083.7443352224
Nicaragua,107.6989851576
Niger,89.82969850128
Nigeria,24209.397741524957
Norfolk Island,0.78398214912
Norway,59520.91010066163
Oman,91315.84263164697
"Other Asia, nes",42348.1909745272
Pakistan,180219.6928864774
Panama,110.5464600488
Papua New Guinea,11.492906520959998
Paraguay,2272.63631271232
Peru,3049.0838293692805
Philippines,12051.42236090128
Poland,96077.39637372794
Portugal,40894.91204094336
Qatar,87136.59445403068
Romania,14450.30919021344
Russian Federation,648213.7955509009
Rwanda,40493.965279491196
Saudi Arabia,498868.95130457316
Senegal,9480.42488854032
"Serbia, FR(Serbia/Montenegro)",366.62829158768
Seychelles,342.6685623768
Sierra Leone,163.21764079184
Singapore,3014224.6486313394
Slovak Republic,11495.57747145184
Slovenia,2955.69479119872
Somalia,66.89612022784
South Africa,20733275.495982856
South Georgia and the South Sa,9.099042872
Spain,138365.96733992727
Sri Lanka,8915.8844670896
St. Kitts and Nevis,15.1086993816
St. Vincent and the Grenadines,40.80011030144
Sudan,391.892062088
Swaziland,66043.38755350956
Sweden,190577.08779460122
Switzerland,629142.3909145519
Syrian Arab Republic,6.04671442304
Tanzania,7241438.678103207
Thailand,287199.94060731446
Togo,110177.00560019488
Tokelau,18.830454703999997
Tunisia,26442.54267944208
Turkey,341805.4967135549
Turkmenistan,5439.92840204928
Turks and Caicos Isl.,64.78349387408001
Uganda,344134.42632174
Ukraine,61439.73984243815
United Arab Emirates,5079010.008460639
United Kingdom,316430.12243653333
United States,8824886.824782718
United States Minor Outlying I,175.85089121856
Unspecified,35436.05107359568
Uruguay,647.2450131473599
Uzbekistan,269.38217720608003
Venezuela,133.05881990688
Vietnam,792632.6017435229
Wallis and Futura Isl.,79.19222636
Zambia,5320125.537199376
Zimbabwe,106995.9369937914
