Partner,Value
Afghanistan,9.17
Albania,112.137
Algeria,40.785
American Samoa,406.413
Andorra,154.228
Angola,14213.197
Anguila,322.894
Antigua and Barbuda,8.596
Argentina,19201.051999999996
Armenia,18.636
Aruba,5.044
Australia,214938.361
Austria,50373.314
Azerbaijan,3.501
"Bahamas, The",0.036
Bahrain,4523.424
Bangladesh,11448.78
Barbados,212.91899999999998
Belarus,6977.211
Belgium,216105.439
Belize,27.354999999999997
Benin,23.913
Bermuda,0.092
Bolivia,6.561
Botswana,197321.359
Bouvet Island,0.464
Brazil,53553.452
British Indian Ocean Ter.,1.956
British Virgin Islands,118.447
Brunei,0.9550000000000001
Bulgaria,6230.226000000001
Burkina Faso,378.056
Burundi,91052.106
Cambodia,64.76299999999999
Cameroon,178.132
Canada,118393.635
Cape Verde,25.814999999999998
Cayman Islands,2.09
Central African Republic,203.513
Chad,1194.75
Chile,31006.683
China,10717663.091
Christmas Island,10.325
Cocos (Keeling) Islands,0.485
Colombia,1371.7549999999999
Comoros,5.558
"Congo, Dem. Rep.",5011449.864
"Congo, Rep.",11321.831
Cook Islands,0.472
Costa Rica,382.19800000000004
Cote d'Ivoire,892.491
Croatia,1026.3400000000001
Cuba,31.029
Curaçao,812.3349999999999
Cyprus,2616.273
Czech Republic,22600.091
Denmark,142758.816
Dominica,275.009
Dominican Republic,1.525
East Timor,3.815
Ecuador,166.44
"Egypt, Arab Rep.",69386.864
El Salvador,16.085
Eritrea,14.959999999999999
Estonia,2941.855
Ethiopia(excludes Eritrea),2100.923
Falkland Island,24.368
Finland,248219.534
France,149775.93699999998
French Polynesia,33.484
Gabon,300.846
"Gambia, The",75.2
Georgia,8063.879
Germany,593119.9029999999
Ghana,5194.878000000001
Greece,3710.185
Greenland,0.6
Grenada,18.545
Guatemala,7.337999999999999
Guinea,15.623000000000001
Holy See,0.96
Honduras,106.27799999999999
"Hong Kong, China",551571.118
Hungary,7246.42
Iceland,637.981
India,1908410.9349999998
Indonesia,64111.081
"Iran, Islamic Rep.",2051.601
Ireland,257378.587
Israel,124599.52399999999
Italy,329727.821
Jamaica,468.527
Japan,1121939.513
Jordan,5230.5470000000005
Kazakhstan,43918.783
Kenya,447728.97
"Korea, Dem. Rep.",6114.334
"Korea, Rep.",135767.433
Kuwait,604090.134
Kyrgyz Republic,970.385
Lao PDR,1282.447
Latvia,466.86300000000006
Lebanon,27906.536
Lesotho,5658.356999999999
Liberia,1544.578
Lithuania,1028.739
Luxembourg,270986.94700000004
Macao,204.121
Madagascar,1704.29
Malawi,525510.888
Malaysia,174288.288
Maldives,12.024999999999999
Mali,335.929
Malta,134.909
Mauritania,5925.429
Mauritius,936095.422
Mexico,14746.517
Moldova,47.045
Mongolia,7.13
Montserrat,0.9099999999999999
Morocco,23135.988999999998
Mozambique,427279.18200000003
Myanmar,1199.563
Namibia,579876.133
Nauru,11.116
Nepal,285.57
Netherlands,295514.951
New Caledonia,40.869
New Zealand,5389.9169999999995
Nicaragua,20.205000000000002
Niger,4169.989
Nigeria,5374.887000000001
Niue,18.162
Norway,6305.979
Oman,68820.621
"Other Asia, nes",46471.356
Pakistan,33144.776
Panama,30843.597
Papua New Guinea,0.276
Paraguay,109.992
Peru,39794.527
Philippines,2392.736
Poland,28015.197
Portugal,24135.690000000002
Qatar,40574.818999999996
Romania,22454.221
Russian Federation,48412.948000000004
Rwanda,54958.280999999995
Saint Helena,0.33
Samoa,3999.69
Sao Tome and Principe,12.225
Saudi Arabia,161054.23200000002
Senegal,1730.089
"Serbia, FR(Serbia/Montenegro)",3.1630000000000003
Seychelles,385718.23099999997
Sierra Leone,407.606
Singapore,2579193.655
Slovak Republic,1640.828
Slovenia,9797.877
Solomon Islands,51.004
South Africa,11308182.331
South Sudan,3.996
Spain,97523.092
Sri Lanka,5093.01
St. Vincent and the Grenadines,2.223
Sudan,776.3689999999999
Suriname,13.269
Swaziland,99845.977
Sweden,330292.18999999994
Switzerland,11748891.404
Syrian Arab Republic,222.35500000000002
Tanzania,1124371.472
Thailand,80257.53
Togo,1102.195
Tokelau,1061.891
Tonga,13.857999999999999
Tunisia,208.408
Turkey,128501.69499999999
Turkmenistan,0.132
Turks and Caicos Isl.,8849.922999999999
Uganda,85883.538
Ukraine,15760.089
United Arab Emirates,3287961.776
United Kingdom,755942.395
United States,871916.1540000001
United States Minor Outlying I,141.964
Unspecified,16272.909
Uruguay,2534.638
Uzbekistan,309.1
Vanuatu,0.926
Venezuela,214.52
Vietnam,61992.461
Wallis and Futura Isl.,2.355
Zimbabwe,700972.858
