Partner,Value
Afghanistan,215.61523000000003
Albania,3.21778
Algeria,7.7314799999999995
American Samoa,13.30272
Angola,195.69952
Antigua and Barbuda,4.31168
Argentina,51930.56196
Australia,16770.39426
Austria,13777.311609999999
Azerbaijan,14.150450000000001
"Bahamas, The",7819.78593
Bahrain,1331.34296
Bangladesh,769.01545
Barbados,136.8678
Belgium,383994.29605999996
Belize,319.92845
Benin,0.27526
Bermuda,0.2852
Bosnia and Herzegovina,0.23
Botswana,333831.90738999995
Bouvet Island,3404.38032
Brazil,13311.020279999999
British Virgin Islands,5298.3814600000005
Bulgaria,3189.33027
Burkina Faso,10.670919999999999
Cambodia,105.54212
Cameroon,323.82392
Canada,30418.04004
Cayman Islands,0.15088
Chad,0.9509299999999999
China,1956473.35409
Colombia,207.60410000000002
"Congo, Dem. Rep.",4856.73209
"Congo, Rep.",2774.2473499999996
Cote d'Ivoire,50.54983
Croatia,756.97646
Cuba,118.41272
Curaçao,106.08374
Cyprus,7716.78478
Czech Republic,4025.4272800000003
Denmark,207426.56351
Dominica,0.35714999999999997
East Timor,0.2363
"Egypt, Arab Rep.",32451.87791
Estonia,2988.4396300000003
Ethiopia(excludes Eritrea),1031.2005199999999
Finland,17058.26533
France,80211.80602
Gabon,10305.60896
"Gambia, The",79.85985
Georgia,15050.26254
Germany,136475.83943999998
Ghana,3796.13276
Gibraltar,539.52292
Greece,1784.9513399999998
Guinea,3.5946700000000003
Holy See,0.59848
"Hong Kong, China",270273.07731
Hungary,8518.727340000001
India,688271.25769
Indonesia,6061.45466
"Iran, Islamic Rep.",104.76146
Iraq,700.7542
Ireland,45273.082819999996
Israel,15255.45328
Italy,78003.85505
Jamaica,3.6411999999999995
Japan,277461.7782
Jordan,2242.0032699999997
Kazakhstan,129.52075000000002
Kenya,175929.81172
"Korea, Dem. Rep.",20483.649269999998
"Korea, Rep.",51332.830780000004
Kuwait,89.47677999999999
Kyrgyz Republic,14.860479999999999
Lao PDR,96.48286
Latvia,786.4044
Lebanon,10122.08491
Lesotho,1410.75461
Lithuania,990.1934
Luxembourg,521.16392
Madagascar,1422.05415
Malawi,98652.60783000001
Malaysia,12295.21748
Mali,0.14315
Malta,493.0475
Marshall Islands,70.83894000000001
Mauritania,51.397409999999994
Mauritius,638121.43615
Mexico,1061.87627
Moldova,2.7784400000000002
Morocco,31619.828630000004
Mozambique,1801583.80561
Namibia,99357.54603
Netherlands,67379.07807
New Zealand,4334.136390000001
Nigeria,868.6695299999999
Norway,1225.25817
Oman,4.796460000000001
"Other Asia, nes",15543.34456
Pakistan,43431.15328
Panama,1147.82801
Papua New Guinea,75.89
Paraguay,848.1018
Peru,10.18493
Philippines,162.08274999999998
Poland,20773.645809999998
Portugal,2811.03508
Qatar,90.78183
Romania,193.5005
Russian Federation,141860.72703
Rwanda,101.97238
San Marino,251.6002
Saudi Arabia,7274.10953
Senegal,50.72014
"Serbia, FR(Serbia/Montenegro)",115.03370000000001
Seychelles,10259.31597
Sierra Leone,3.38054
Singapore,4852085.62113
Slovak Republic,1698.79883
Slovenia,41.765
Somalia,3.36043
South Africa,16456369.845460001
Spain,22934.88964
Sri Lanka,1482.03222
St. Kitts and Nevis,0.24468
Sudan,1398.31485
Swaziland,193439.42552
Sweden,79021.31740999999
Switzerland,71845.62628
Syrian Arab Republic,0.10764
Tanzania,64733.14937
Thailand,84013.43918
Tokelau,646.28211
Tunisia,0.04934
Turkey,32784.3519
Turks and Caicos Isl.,1.56409
Uganda,644.73775
Ukraine,37134.650160000005
United Arab Emirates,3052189.27979
United Kingdom,451525.31926
United States,224450.63692
United States Minor Outlying I,85.8652
Unspecified,3083541.73992
Uruguay,1914.96442
Vietnam,1305.14738
Zambia,662685.7251800001
