,Holder,Shares,Date Reported,% Out,Value,Target
0,"Vanguard Group, Inc. (The)",46376882.0,2022-09-29,0.0839,5591660648.0,MMM
1,Blackrock Inc.,42083570.0,2022-09-29,0.0761,5074016022.0,MMM
2,State Street Corporation,32405350.0,2022-09-29,0.058600000000000006,3907113039.0,MMM
3,"Charles Schwab Investment Management, Inc.",12016050.0,2022-09-29,0.0217,1448775144.0,MMM
4,"Geode Capital Management, LLC",10347138.0,2022-09-29,0.0187,1247554425.0,MMM
5,Morgan Stanley,9944750.0,2022-09-29,0.018000000000000002,1199038504.0,MMM
6,State Farm Mutual Automobile Insurance Co,9557100.0,2022-09-29,0.0173,1152299544.0,MMM
7,Newport Trust Co,9262400.0,2022-09-29,0.0168,1116767565.0,MMM
8,Flossbach von Storch AG,8959758.0,2022-09-29,0.016200000000000003,1080278019.0,MMM
9,Northern Trust Corporation,7280602.0,2022-09-29,0.0132,877822180.0,MMM
0,"Vanguard Group, Inc. (The)",14657028.0,2022-09-29,0.1155,845124232.0,AOS
1,Blackrock Inc.,10241194.0,2022-09-29,0.08070000000000001,590507244.0,AOS
2,State Street Corporation,8804868.0,2022-09-29,0.0694,507688687.0,AOS
3,Impax Asset Management Group Plc,4001360.0,2022-09-29,0.0315,230718416.0,AOS
4,Pictet Asset Management SA,3571176.0,2022-09-29,0.0281,205914007.0,AOS
5,Brown Brothers Harriman & Co,3462013.0,2022-09-29,0.0273,199619669.0,AOS
6,Invesco Ltd.,3040190.0,2022-09-29,0.024,175297354.0,AOS
7,"Geode Capital Management, LLC",2914474.0,2022-09-29,0.023,168048570.0,AOS
8,"ProShares Advisors, LLC",2702330.0,2022-09-29,0.0213,155816347.0,AOS
9,First Trust Advisors LP,2420177.0,2022-09-29,0.0191,139547405.0,AOS
0,"Vanguard Group, Inc. (The)",154563421.0,2022-09-29,0.0886,17049890593.0,ABT
1,Blackrock Inc.,133336257.0,2022-09-29,0.0765,14708322184.0,ABT
2,Capital Research Global Investors,78806814.0,2022-09-29,0.0452,8693179459.0,ABT
3,State Street Corporation,74138862.0,2022-09-29,0.0425,8178257686.0,ABT
4,Capital International Investors,52232376.0,2022-09-29,0.03,5761753269.0,ABT
5,Morgan Stanley,34079545.0,2022-09-29,0.0195,3759314525.0,ABT
6,"Geode Capital Management, LLC",30060816.0,2022-09-29,0.0172,3316008539.0,ABT
7,Massachusetts Financial Services Co.,24531808.0,2022-09-29,0.0141,2706103680.0,ABT
8,Northern Trust Corporation,24051485.0,2022-09-29,0.0138,2653119251.0,ABT
9,Bank of America Corporation,22049060.0,2022-09-29,0.0126,2432231754.0,ABT
0,"Vanguard Group, Inc. (The)",156022414.0,2022-09-29,0.0882,25363003238.0,ABBV
1,Blackrock Inc.,132960149.0,2022-09-29,0.07519999999999999,21614001496.0,ABBV
2,State Street Corporation,77486317.0,2022-09-29,0.0438,12596175502.0,ABBV
3,JP Morgan Chase & Company,58479009.0,2022-09-29,0.0331,9506347560.0,ABBV
4,Capital International Investors,45827258.0,2022-09-29,0.0259,7449678948.0,ABBV
5,Capital Research Global Investors,36193102.0,2022-09-29,0.020499999999999997,5883550572.0,ABBV
6,"Geode Capital Management, LLC",33830501.0,2022-09-29,0.0191,5499486159.0,ABBV
7,Morgan Stanley,26786473.0,2022-09-29,0.0151,4354408985.0,ABBV
8,Price (T.Rowe) Associates Inc,24521336.0,2022-09-29,0.0139,3986188320.0,ABBV
9,Northern Trust Corporation,21854796.0,2022-09-29,0.0124,3552715584.0,ABBV
0,"Vanguard Group, Inc. (The)",58473666.0,2022-09-29,0.0888,15693162766.0,ACN
1,Blackrock Inc.,46363742.0,2022-09-29,0.0704,12443101304.0,ACN
2,State Street Corporation,25953346.0,2022-09-29,0.0394,6965359126.0,ACN
3,Massachusetts Financial Services Co.,15501057.0,2022-09-29,0.0235,4160173753.0,ACN
4,"FMR, LLC",15432208.0,2022-09-29,0.023399999999999997,4141696058.0,ACN
5,Morgan Stanley,14479259.0,2022-09-29,0.022000000000000002,3885943601.0,ACN
6,"Wellington Management Group, LLP",11293058.0,2022-09-29,0.0172,3030830961.0,ACN
7,"Geode Capital Management, LLC",11048031.0,2022-09-29,0.0168,2965070613.0,ACN
8,Northern Trust Corporation,8540877.0,2022-09-29,0.013000000000000001,2292200610.0,ACN
9,Price (T.Rowe) Associates Inc,7764025.0,2022-09-29,0.0118,2083709067.0,ACN
0,"Vanguard Group, Inc. (The)",60987590.0,2022-09-29,0.0779,4681407538.0,ATVI
1,"Berkshire Hathaway, Inc",60141866.0,2022-09-29,0.0768,4616489762.0,ATVI
2,Blackrock Inc.,58844694.0,2022-09-29,0.07519999999999999,4516918837.0,ATVI
3,Public Investment Fund,37870000.0,2022-09-29,0.0484,2906901280.0,ATVI
4,State Street Corporation,30184994.0,2022-09-29,0.038599999999999995,2317000203.0,ATVI
5,Capital World Investors,22779357.0,2022-09-29,0.0291,1748543491.0,ATVI
6,"FMR, LLC",22059423.0,2022-09-29,0.0282,1693281356.0,ATVI
7,"Geode Capital Management, LLC",15556459.0,2022-09-29,0.0199,1194113826.0,ATVI
8,Morgan Stanley,8513107.0,2022-09-29,0.0109,653466111.0,ATVI
9,Northern Trust Corporation,8493265.0,2022-09-29,0.0109,651943039.0,ATVI
0,"Vanguard Group, Inc. (The)",62966053.0,2022-09-29,0.11460000000000001,5863399028.0,ADM
1,State Farm Mutual Automobile Insurance Co,46796552.0,2022-09-29,0.0852,4357695050.0,ADM
2,Blackrock Inc.,44149903.0,2022-09-29,0.08039999999999999,4111239088.0,ADM
3,Capital World Investors,41996980.0,2022-09-29,0.0765,3910758892.0,ADM
4,State Street Corporation,31770231.0,2022-09-29,0.057800000000000004,2958443997.0,ADM
5,Capital International Investors,13061080.0,2022-09-29,0.023799999999999998,1216247805.0,ADM
6,Northern Trust Corporation,12166385.0,2022-09-29,0.022099999999999998,1132933804.0,ADM
7,"Wellington Management Group, LLP",11761042.0,2022-09-29,0.021400000000000002,1095188263.0,ADM
8,"Geode Capital Management, LLC",10157708.0,2022-09-29,0.018500000000000003,945885796.0,ADM
9,Bank Of New York Mellon Corporation,6524033.0,2022-09-29,0.011899999999999999,607517970.0,ADM
0,"Vanguard Group, Inc. (The)",39170306.0,2022-09-29,0.0843,13223111373.0,ADBE
1,Blackrock Inc.,36619331.0,2022-09-29,0.0788,12361953267.0,ADBE
2,State Street Corporation,18620262.0,2022-09-29,0.0401,6285827795.0,ADBE
3,"FMR, LLC",14277086.0,2022-09-29,0.030699999999999998,4819658500.0,ADBE
4,"Geode Capital Management, LLC",9383492.0,2022-09-29,0.0202,3167679103.0,ADBE
5,Morgan Stanley,8332414.0,2022-09-29,0.0179,2812856206.0,ADBE
6,Bank Of New York Mellon Corporation,7526253.0,2022-09-29,0.016200000000000003,2540712386.0,ADBE
7,"Polen Capital Management, LLC",6930964.0,2022-09-29,0.0149,2339754734.0,ADBE
8,Primecap Management Company,6404918.0,2022-09-29,0.0138,2162172132.0,ADBE
9,Northern Trust Corporation,5544618.0,2022-09-29,0.011899999999999999,1871752069.0,ADBE
0,"Vanguard Group, Inc. (The)",39551673.0,2022-09-29,0.0953,9516923364.0,ADP
1,Blackrock Inc.,33866016.0,2022-09-29,0.0816,8148840604.0,ADP
2,State Street Corporation,18038152.0,2022-09-29,0.0435,4340340046.0,ADP
3,Bank Of New York Mellon Corporation,10964445.0,2022-09-29,0.0264,2638264702.0,ADP
4,Morgan Stanley,10215686.0,2022-09-29,0.0246,2458098315.0,ADP
5,"AllianceBernstein, L.P.",9231406.0,2022-09-29,0.0223,2221260866.0,ADP
6,"Geode Capital Management, LLC",8921730.0,2022-09-29,0.0215,2146746629.0,ADP
7,Wells Fargo & Company,8256402.0,2022-09-29,0.0199,1986655408.0,ADP
8,Bank of America Corporation,8149223.0,2022-09-29,0.0196,1960865998.0,ADP
9,"Charles Schwab Investment Management, Inc.",7764034.0,2022-09-29,0.0187,1868181823.0,ADP
0,"Vanguard Group, Inc. (The)",7291395.0,2022-09-29,0.1213,1066803984.0,AAP
1,Blackrock Inc.,4095355.0,2022-09-29,0.0681,599191380.0,AAP
2,JP Morgan Chase & Company,3247267.0,2022-09-29,0.054000000000000006,475107626.0,AAP
3,"ClearBridge Investments, LLC",3043636.0,2022-09-29,0.0506,445314375.0,AAP
4,"Barrow, Hanley Mewhinney & Strauss, LLC",2980111.0,2022-09-29,0.0496,436020033.0,AAP
5,State Street Corporation,2728423.0,2022-09-29,0.0454,399195562.0,AAP
6,"American Century Companies, Inc.",1606925.0,2022-09-29,0.026699999999999998,235109192.0,AAP
7,"Champlain Investment Partners, LLC",1579700.0,2022-09-29,0.0263,231125903.0,AAP
8,Artisan Partners Limited Partnership,1515233.0,2022-09-29,0.0252,221693736.0,AAP
9,"Geode Capital Management, LLC",1271797.0,2022-09-29,0.0212,186076615.0,AAP
0,"Vanguard Group, Inc. (The)",85350996.0,2022-09-29,0.1278,2458962149.0,AES
1,Capital World Investors,67968838.0,2022-09-29,0.1018,1958182186.0,AES
2,Capital International Investors,61598932.0,2022-09-29,0.0922,1774665198.0,AES
3,Blackrock Inc.,43468638.0,2022-09-29,0.06509999999999999,1252331437.0,AES
4,State Street Corporation,35292933.0,2022-09-29,0.0528,1016789380.0,AES
5,"FMR, LLC",34742743.0,2022-09-29,0.052000000000000005,1000938407.0,AES
6,"Ameriprise Financial, Inc.",18643831.0,2022-09-29,0.0279,537128761.0,AES
7,Orbis Allan Gray Ltd,17668594.0,2022-09-29,0.0265,509032183.0,AES
8,"Wellington Management Group, LLP",17065822.0,2022-09-29,0.0255,491666322.0,AES
9,"Geode Capital Management, LLC",13155862.0,2022-09-29,0.0197,379020377.0,AES
0,"Vanguard Group, Inc. (The)",55153545.0,2022-09-29,0.08869999999999999,3975467624.0,AFL
1,"Japan Post Holdings Co., Ltd.",52300000.0,2022-09-29,0.08410000000000001,3769784095.0,AFL
2,Blackrock Inc.,41189850.0,2022-09-29,0.0662,2968964463.0,AFL
3,State Street Corporation,30568389.0,2022-09-29,0.0492,2203369535.0,AFL
4,Wells Fargo & Company,16354494.0,2022-09-29,0.0263,1178831957.0,AFL
5,"Geode Capital Management, LLC",11954011.0,2022-09-29,0.0192,861645134.0,AFL
6,Northern Trust Corporation,7574091.0,2022-09-29,0.012199999999999999,545940493.0,AFL
7,Morgan Stanley,7171972.0,2022-09-29,0.0115,516955754.0,AFL
8,Lsv Asset Management,6143111.0,2022-09-29,0.009899999999999999,442795452.0,AFL
9,"AllianceBernstein, L.P.",5926224.0,2022-09-29,0.0095,427162236.0,AFL
0,Blackrock Inc.,32943190.0,2022-09-29,0.11130000000000001,4977386456.0,A
1,"Vanguard Group, Inc. (The)",24955720.0,2022-09-29,0.0843,3770559643.0,A
2,"Wellington Management Group, LLP",13367641.0,2022-09-29,0.0451,2019716829.0,A
3,State Street Corporation,13152295.0,2022-09-29,0.0444,1987180203.0,A
4,"T. Rowe Price Investment Management, Inc.",9478399.0,2022-09-29,0.032,1432091270.0,A
5,Massachusetts Financial Services Co.,6478670.0,2022-09-29,0.0219,978862226.0,A
6,Price (T.Rowe) Associates Inc,6314924.0,2022-09-29,0.0213,954121844.0,A
7,"Geode Capital Management, LLC",5974738.0,2022-09-29,0.0202,902723142.0,A
8,Pictet Asset Management SA,5392455.0,2022-09-29,0.0182,814746006.0,A
