Source,Target,Weight
"Vanguard Group, Inc. (The)",MMM,5591660648
Blackrock Inc.,MMM,5074016022
State Street Corporation,MMM,3907113039
"Charles Schwab Investment Management, Inc.",MMM,1448775144
"Geode Capital Management, LLC",MMM,1247554425
Morgan Stanley,MMM,1199038504
State Farm Mutual Automobile Insurance Co,MMM,1152299544
Newport Trust Co,MMM,1116767565
Flossbach von Storch AG,MMM,1080278019
Northern Trust Corporation,MMM,877822180
"Vanguard Group, Inc. (The)",AOS,845124232
Blackrock Inc.,AOS,590507244
State Street Corporation,AOS,507688687
Impax Asset Management Group Plc,AOS,230718416
Pictet Asset Management SA,AOS,205914007
Brown Brothers Harriman & Co,AOS,199619669
Invesco Ltd.,AOS,175297354
"Geode Capital Management, LLC",AOS,168048570
"ProShares Advisors, LLC",AOS,155816347
First Trust Advisors LP,AOS,139547405
"Vanguard Group, Inc. (The)",ABT,17049890593
Blackrock Inc.,ABT,14708322184
Capital Research Global Investors,ABT,8693179459
State Street Corporation,ABT,8178257686
Capital International Investors,ABT,5761753269
Morgan Stanley,ABT,3759314525
"Geode Capital Management, LLC",ABT,3316008539
Massachusetts Financial Services Co.,ABT,2706103680
Northern Trust Corporation,ABT,2653119251
Bank of America Corporation,ABT,2432231754
"Vanguard Group, Inc. (The)",ABBV,25363003238
Blackrock Inc.,ABBV,21614001496
State Street Corporation,ABBV,12596175502
JP Morgan Chase & Company,ABBV,9506347560
Capital International Investors,ABBV,7449678948
Capital Research Global Investors,ABBV,5883550572
"Geode Capital Management, LLC",ABBV,5499486159
Morgan Stanley,ABBV,4354408985
Price (T.Rowe) Associates Inc,ABBV,3986188320
Northern Trust Corporation,ABBV,3552715584
"Vanguard Group, Inc. (The)",ACN,15693162766
Blackrock Inc.,ACN,12443101304
State Street Corporation,ACN,6965359126
Massachusetts Financial Services Co.,ACN,4160173753
"FMR, LLC",ACN,4141696058
Morgan Stanley,ACN,3885943601
"Wellington Management Group, LLP",ACN,3030830961
"Geode Capital Management, LLC",ACN,2965070613
Northern Trust Corporation,ACN,2292200610
Price (T.Rowe) Associates Inc,ACN,2083709067
"Vanguard Group, Inc. (The)",ATVI,4681407538
"Berkshire Hathaway, Inc",ATVI,4616489762
Blackrock Inc.,ATVI,4516918837
Public Investment Fund,ATVI,2906901280
State Street Corporation,ATVI,2317000203
Capital World Investors,ATVI,1748543491
"FMR, LLC",ATVI,1693281356
"Geode Capital Management, LLC",ATVI,1194113826
Morgan Stanley,ATVI,653466111
Northern Trust Corporation,ATVI,651943039
"Vanguard Group, Inc. (The)",ADM,5863399028
State Farm Mutual Automobile Insurance Co,ADM,4357695050
Blackrock Inc.,ADM,4111239088
Capital World Investors,ADM,3910758892
State Street Corporation,ADM,2958443997
Capital International Investors,ADM,1216247805
Northern Trust Corporation,ADM,1132933804
"Wellington Management Group, LLP",ADM,1095188263
"Geode Capital Management, LLC",ADM,945885796
Bank Of New York Mellon Corporation,ADM,607517970
"Vanguard Group, Inc. (The)",ADBE,13223111373
Blackrock Inc.,ADBE,12361953267
State Street Corporation,ADBE,6285827795
"FMR, LLC",ADBE,4819658500
"Geode Capital Management, LLC",ADBE,3167679103
Morgan Stanley,ADBE,2812856206
Bank Of New York Mellon Corporation,ADBE,2540712386
"Polen Capital Management, LLC",ADBE,2339754734
Primecap Management Company,ADBE,2162172132
Northern Trust Corporation,ADBE,1871752069
"Vanguard Group, Inc. (The)",ADP,9516923364
Blackrock Inc.,ADP,8148840604
State Street Corporation,ADP,4340340046
Bank Of New York Mellon Corporation,ADP,2638264702
Morgan Stanley,ADP,2458098315
"AllianceBernstein, L.P.",ADP,2221260866
"Geode Capital Management, LLC",ADP,2146746629
Wells Fargo & Company,ADP,1986655408
Bank of America Corporation,ADP,1960865998
"Charles Schwab Investment Management, Inc.",ADP,1868181823
"Vanguard Group, Inc. (The)",AAP,1066803984
Blackrock Inc.,AAP,599191380
JP Morgan Chase & Company,AAP,475107626
"ClearBridge Investments, LLC",AAP,445314375
"Barrow, Hanley Mewhinney & Strauss, LLC",AAP,436020033
State Street Corporation,AAP,399195562
"American Century Companies, Inc.",AAP,235109192
"Champlain Investment Partners, LLC",AAP,231125903
Artisan Partners Limited Partnership,AAP,221693736
"Geode Capital Management, LLC",AAP,186076615
"Vanguard Group, Inc. (The)",AES,2458962149
Capital World Investors,AES,1958182186
Capital International Investors,AES,1774665198
Blackrock Inc.,AES,1252331437
State Street Corporation,AES,1016789380
"FMR, LLC",AES,1000938407
"Ameriprise Financial, Inc.",AES,537128761
Orbis Allan Gray Ltd,AES,509032183
"Wellington Management Group, LLP",AES,491666322
"Geode Capital Management, LLC",AES,379020377
"Vanguard Group, Inc. (The)",AFL,3975467624
"Japan Post Holdings Co., Ltd.",AFL,3769784095
Blackrock Inc.,AFL,2968964463
State Street Corporation,AFL,2203369535
Wells Fargo & Company,AFL,1178831957
"Geode Capital Management, LLC",AFL,861645134
Northern Trust Corporation,AFL,545940493
Morgan Stanley,AFL,516955754
Lsv Asset Management,AFL,442795452
"AllianceBernstein, L.P.",AFL,427162236
Blackrock Inc.,A,4977386456
"Vanguard Group, Inc. (The)",A,3770559643
"Wellington Management Group, LLP",A,2019716829
State Street Corporation,A,1987180203
"T. Rowe Price Investment Management, Inc.",A,1432091270
Massachusetts Financial Services Co.,A,978862226
Price (T.Rowe) Associates Inc,A,954121844
"Geode Capital Management, LLC",A,902723142
Pictet Asset Management SA,A,814746006
Northern Trust Corporation,A,629419167
"Vanguard Group, Inc. (The)",APD,6375292408
Blackrock Inc.,APD,4553548246
State Farm Mutual Automobile Insurance Co,APD,4034721430
State Street Corporation,APD,3214555921
JP Morgan Chase & Company,APD,2298247555
Bank of America Corporation,APD,2076429276
"Franklin Resources, Inc.",APD,1536443706
Morgan Stanley,APD,1338527079
Wells Fargo & Company,APD,1272179932
"Geode Capital Management, LLC",APD,1268707087
"Vanguard Group, Inc. (The)",AKAM,1632270857
Blackrock Inc.,AKAM,1316364497
Canada Pension Plan Investment Board,AKAM,673782417
State Street Corporation,AKAM,618942862
Nordea Investment Management AB,AKAM,419139237
Ubs Asset Management Americas Inc,AKAM,359540728
First Trust Advisors LP,AKAM,335705060
Bank of America Corporation,AKAM,320791510
"Geode Capital Management, LLC",AKAM,313402456
"AllianceBernstein, L.P.",AKAM,302405868
"Vanguard Group, Inc. (The)",ALK,563650243
Blackrock Inc.,ALK,286855081
Victory Capital Management Inc.,ALK,249088892
Primecap Management Company,ALK,181347881
State Street Corporation,ALK,166138413
Boston Partners,ALK,125452579
Morgan Stanley,ALK,113119903
"Geode Capital Management, LLC",ALK,100319923
Invesco Ltd.,ALK,95883384
Dimensional Fund Advisors LP,ALK,81380398
"Vanguard Group, Inc. (The)",ALB,2878775568
Blackrock Inc.,ALB,1941768181
State Street Corporation,ALB,1107733598
"Franklin Resources, Inc.",ALB,803051416
Capital International Investors,ALB,694234485
Baillie Gifford and Company,ALB,850179095
Capital Research Global Investors,ALB,536084064
Primecap Management Company,ALB,532756893
"Mirae Asset Global Investments Co., Ltd.",ALB,483413162
"Geode Capital Management, LLC",ALB,472614748
"Vanguard Group, Inc. (The)",ARE,3697641080
Blackrock Inc.,ARE,2192443020
Norges Bank Investment Management,ARE,3007226733
State Street Corporation,ARE,1484139994
Apg Asset Management US Inc.,ARE,993887979
"Principal Financial Group, Inc.",ARE,867642410
JP Morgan Chase & Company,ARE,586634457
"Parnassus Investments, LLC",ARE,549358991
"Geode Capital Management, LLC",ARE,472166629
Canada Pension Plan Investment Board,ARE,439171869
"Vanguard Group, Inc. (The)",ALGN,1733285878
Blackrock Inc.,ALGN,1327950399
Edgewood Management Company,ALGN,973376376
State Street Corporation,ALGN,712681530
Price (T.Rowe) Associates Inc,ALGN,620893804
Janus Henderson Group PLC,ALGN,610951061
"Sands Capital Management, LLC",ALGN,591801618
"Wellington Management Group, LLP",ALGN,563108457
"Polen Capital Management, LLC",ALGN,454151033
"AllianceBernstein, L.P.",ALGN,451148400
"Vanguard Group, Inc. (The)",ALLE,1028770695
Blackrock Inc.,ALLE,716525792
Apg Asset Management N.V.,ALLE,529009503
State Street Corporation,ALLE,395665493
Boston Partners,ALLE,308640910
Kayne Anderson Rudnick Investment Management LLC,ALLE,294408600
Pictet Asset Management SA,ALLE,286328521
AKO Capital LLP,ALLE,241758273
"Geode Capital Management, LLC",ALLE,188606699
Citadel Advisors Llc,ALLE,170558736
"Vanguard Group, Inc. (The)",LNT,1854343620
Blackrock Inc.,LNT,1269311846
State Street Corporation,LNT,826532872
Victory Capital Management Inc.,LNT,427102030
"Geode Capital Management, LLC",LNT,308818082
Janus Henderson Group PLC,LNT,290440858
Nuveen Asset Management,LNT,282623105
Pictet Asset Management SA,LNT,252917271
Invesco Ltd.,LNT,231222428
"Franklin Resources, Inc.",LNT,229903996
"Vanguard Group, Inc. (The)",ALL,3222132427
Blackrock Inc.,ALL,2858646075
State Street Corporation,ALL,1607783843
Invesco Ltd.,ALL,742055855
"Geode Capital Management, LLC",ALL,728258634
"Charles Schwab Investment Management, Inc.",ALL,644274916
"Barrow, Hanley Mewhinney & Strauss, LLC",ALL,630944187
"American Century Companies, Inc.",ALL,578100565
Northern Trust Corporation,ALL,486981569
Lsv Asset Management,ALL,467007780
"Vanguard Group, Inc. (The)",GOOGL,51479597680
Blackrock Inc.,GOOGL,45291743637
Fiera Capital Corporation,GOOGL,38915656012
"FMR, LLC",GOOGL,26083310145
State Street Corporation,GOOGL,23654263364
Price (T.Rowe) Associates Inc,GOOGL,13610657679
"Geode Capital Management, LLC",GOOGL,12331299124
Norges Bank Investment Management,GOOGL,14477661901
